,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.41,0.22,0.21,0.15,0.1,0.17,0.16,0.17,0.14,0.16,0.08,0.2,0.11,0.13,0.07
e_1,0.23,0.9,0.17,0.23,0.2,0.13,0.18,0.14,0.38,0.18,0.19,0.16,0.16,0.11,0.15,0.06
d_1,0.27,0.19,0.9,0.17,0.16,0.12,0.22,0.17,0.1,0.35,0.24,0.17,0.22,0.13,0.15,0.12
c_1,0.26,0.22,0.17,0.88,0.32,0.12,0.2,0.14,0.18,0.09,0.12,0.17,0.19,0.14,0.13,0.1
b_1,0.24,0.22,0.18,0.21,0.88,0.26,0.2,0.14,0.19,0.15,0.07,0.13,0.23,0.08,0.17,0.1
a_1,0.28,0.2,0.25,0.19,0.18,0.88,0.19,0.17,0.19,0.2,0.19,0.16,0.25,0.07,0.14,0.1
h_1,0.42,0.26,0.29,0.24,0.17,0.11,0.57,0.27,0.24,0.23,0.22,0.16,0.14,0.15,0.25,0.13
g_1,0.27,0.25,0.41,0.24,0.19,0.15,0.23,0.55,0.21,0.22,0.21,0.28,0.23,0.16,0.13,0.13
d_0,0.31,0.26,0.15,0.49,0.19,0.15,0.23,0.15,0.45,0.16,0.25,0.17,0.22,0.14,0.18,0.18
c_0,0.35,0.24,0.34,0.16,0.13,0.14,0.27,0.23,0.22,0.44,0.45,0.18,0.28,0.19,0.24,0.18
b_0,0.34,0.26,0.31,0.26,0.11,0.13,0.29,0.24,0.25,0.24,0.46,0.18,0.25,0.33,0.21,0.16
f_0,0.19,0.2,0.33,0.27,0.21,0.16,0.26,0.18,0.26,0.31,0.25,0.45,0.24,0.17,0.24,0.31
h_0,0.44,0.27,0.29,0.25,0.21,0.13,0.14,0.26,0.22,0.2,0.23,0.18,0.18,0.16,0.27,0.13
a_0,0.4,0.22,0.3,0.24,0.2,0.08,0.28,0.2,0.22,0.2,0.23,0.22,0.29,0.41,0.21,0.18
g_0,0.25,0.22,0.44,0.24,0.19,0.14,0.19,0.14,0.23,0.22,0.26,0.34,0.25,0.16,0.16,0.16
e_0,0.4,0.2,0.25,0.31,0.17,0.14,0.27,0.2,0.25,0.22,0.27,0.19,0.33,0.22,0.23,0.39
