,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,13076.39,4004.43,9069.17,6781.57,8798.99,46501.37,4842922.43,10231722.31,18317577.38,23303048.1,18884287.43,38459763.7,154962410.0,260739045.06,244166260.49,164388725.64
d_1,5182.12,13995.79,5120.66,5211.44,9825.58,47323.74,4700190.67,12982886.67,12615215.48,49441898.3,35197237.02,60461473.23,185762136.8,285652301.86,255470846.82,280338437.85
e_1,5043.41,4038.68,14647.14,7590.29,9772.84,58635.49,4929576.1,11393186.87,30799285.76,26135869.37,32927223.04,49435121.29,176188285.29,259979962.07,241566364.15,179035793.64
c_1,4645.01,4860.47,4457.86,19742.57,18982.84,44228.48,4995764.05,10150035.63,15873771.12,13680920.0,29879297.42,34499794.29,164335234.8,265793312.04,206333238.0,248783851.94
b_1,4765.47,4652.49,4874.54,6837.08,32761.47,111419.78,5286154.61,11386542.2,16655035.7,24240033.35,32940960.37,27698277.86,143534673.78,281815715.09,150877761.87,289416495.92
a_1,5001.73,5652.48,4769.84,7521.96,8406.32,271102.98,4642741.57,13578271.6,18371440.99,27510240.93,38175332.78,50153953.9,170563742.85,267947286.54,135042528.22,282972226.55
h_1,6883.22,5275.29,5009.93,8356.46,10098.96,54346.24,10657951.47,15088919.95,20011361.7,26837352.58,32903335.49,51880997.59,121225132.85,395890862.67,243450230.4,346226380.15
g_1,4246.38,8441.1,5063.15,7360.13,9985.54,60290.1,4701833.82,29803101.63,16016556.29,32379917.36,52159694.08,54513931.53,174656264.0,215149194.05,211295098.81,334142803.62
d_0,5005.47,4223.06,5242.85,13367.66,11595.15,50740.45,5482981.87,12563894.06,32081721.24,20369484.32,28950722.03,47512324.3,156950069.85,301230636.89,289495202.66,280212910.05
c_0,5242.33,6024.58,5063.93,5729.39,9338.57,67089.98,5774897.98,15414049.06,22460613.15,51887383.32,44117423.1,96985653.68,192072546.13,331403989.5,358014088.41,377979289.96
f_0,3645.09,6751.61,4586.0,7744.21,11931.71,66921.95,6096706.87,15763172.18,19119239.96,34779616.08,65466853.14,55630848.73,201801960.02,302173990.54,294060686.68,636131570.73
b_0,5913.67,6623.31,5070.92,8480.25,7711.51,54305.84,5611442.23,12662982.7,20752148.26,28390983.11,39085390.35,90224149.88,222140856.7,328151667.44,550720182.22,344735529.04
h_0,7304.11,5986.65,5432.45,6702.14,11037.22,56434.14,3796485.68,16450332.48,18434149.69,28249725.31,37091728.55,53382510.31,127451226.03,384953177.11,259458231.4,272673136.92
g_0,4132.09,8322.02,5392.45,7091.08,9899.84,55925.94,5692887.78,11973108.31,17519450.31,32942778.5,54604867.03,54107634.67,158897939.5,233577125.22,298667092.31,340090087.66
a_0,5381.42,6872.45,5467.7,7491.1,10269.89,40500.56,6493869.25,14095345.91,22495163.32,28134800.04,42004042.57,48214203.6,204026669.67,350058393.22,598477257.41,275141152.2
e_0,5203.9,6894.3,2625.34,9034.33,12046.04,67383.05,6731046.32,14937807.63,18516250.04,30440106.64,39119770.56,57784767.42,203205845.61,376112665.15,285751466.97,691489968.61
