,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.92,0.6,1.17,0.61,0.61,0.43,2.01,1.67,2.47,2.48,2.94,0.63,3.88,2.4,2.11,4.27
d_1,0.66,5.96,0.5,0.43,0.55,0.61,2.93,2.31,5.73,0.95,3.55,3.45,4.43,2.91,3.17,3.23
e_1,0.67,0.48,6.28,0.63,0.56,0.48,2.2,2.08,2.67,5.77,2.68,3.47,4.83,3.02,1.16,4.21
c_1,0.67,0.62,0.5,6.57,1.23,0.42,2.3,1.95,0.52,2.53,2.27,3.09,4.09,2.49,2.14,4.12
b_1,0.56,0.62,0.59,0.6,7.28,1.25,1.71,1.89,2.02,2.55,0.57,2.26,4.18,2.72,3.06,5.63
a_1,0.54,0.58,0.37,0.67,0.69,10.73,2.73,2.44,3.08,2.06,2.6,3.54,5.79,0.62,3.41,4.12
h_1,1.43,0.98,1.01,1.38,0.67,0.92,16.81,4.32,4.77,4.56,5.97,5.31,2.32,4.79,5.19,10.76
g_1,0.85,1.67,0.86,0.97,0.99,1.04,2.67,18.47,4.43,4.88,5.45,8.3,5.64,3.87,5.93,3.35
c_0,1.19,1.49,1.07,0.5,0.67,1.0,3.9,4.64,14.18,5.4,9.65,6.54,8.72,5.38,5.3,8.54
d_0,1.05,0.34,1.16,2.04,0.78,1.15,4.27,4.03,3.87,14.06,6.51,5.3,5.75,5.59,5.34,6.4
b_0,1.31,1.31,1.21,1.09,0.18,0.99,3.94,4.67,5.1,5.02,15.45,3.72,8.9,10.36,4.82,7.34
f_0,0.43,1.18,0.88,1.55,0.81,1.07,2.91,4.25,4.49,6.46,6.12,15.73,8.89,5.4,13.19,8.76
h_0,1.43,1.2,1.05,0.92,0.96,1.03,0.94,5.48,5.22,4.93,5.1,4.73,2.83,4.49,5.19,10.36
a_0,1.06,1.08,1.14,1.54,0.76,,3.39,4.28,6.13,5.26,4.61,5.3,8.24,21.18,5.0,6.38
e_0,1.25,1.25,0.44,0.87,0.84,1.21,4.64,5.16,6.36,6.23,6.52,3.98,8.65,6.22,21.77,6.8
g_0,0.98,1.59,0.87,1.17,0.91,0.92,3.25,1.72,5.1,4.09,4.85,8.27,6.43,3.99,6.46,
