,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,99.2,78.43,105.35,100.54,169.46,474.17,10926.03,18663.6,36832.24,29195.68,48589.05,57225.38,110239.29,152673.87,172861.54,216604.16
f_1,63.52,105.51,141.17,106.71,180.45,400.37,10200.15,20819.5,25176.7,36301.41,37636.16,47525.84,100036.07,125781.52,115846.89,216033.79
e_1,55.05,60.24,137.99,127.39,170.33,410.08,9685.23,17503.27,21621.86,41999.93,35840.18,47214.79,89541.09,122771.65,127339.53,197425.9
c_1,60.64,60.67,73.02,152.56,230.4,471.28,8979.29,18293.62,15466.65,23226.81,22200.54,47333.5,76047.24,114216.4,132024.47,190295.58
b_1,48.58,50.81,69.51,76.1,227.52,551.27,7811.61,15844.17,18494.76,23056.76,21951.04,40452.15,59540.01,104123.43,108337.18,162956.08
a_1,34.83,39.7,52.76,61.98,95.0,498.34,6822.25,12200.15,13052.08,17508.39,21256.09,33500.54,44475.45,81025.0,103835.02,138061.58
h_1,17.22,20.68,23.43,26.78,37.98,94.25,3403.83,5730.66,6257.99,7427.4,9837.14,14046.45,22632.34,30690.14,43286.97,63216.05
g_1,16.32,13.38,18.73,20.54,33.51,81.99,2014.19,5686.92,4900.68,5839.97,7984.28,15122.48,20894.64,28055.47,38104.99,40666.74
c_0,12.06,13.83,20.64,21.31,31.93,83.99,2020.46,4099.94,5969.2,6805.61,11040.52,11409.11,22320.11,25355.71,34189.72,40507.85
d_0,10.17,11.58,15.42,31.51,33.45,83.08,1768.28,3466.09,3128.24,6674.66,5873.42,9282.08,17260.44,23910.23,26644.71,37964.19
b_0,10.79,13.15,15.25,22.96,30.73,66.73,1768.05,3435.68,3631.45,5583.6,7953.45,8984.78,24870.69,25616.64,26995.49,36204.63
f_0,10.57,10.0,11.98,18.19,30.5,69.45,1633.71,2915.4,3849.27,4477.52,5876.1,10847.83,14822.01,19333.27,42473.94,34051.27
a_0,8.34,9.17,11.86,15.53,22.2,54.15,1388.36,2535.27,2868.58,3627.55,4452.02,6932.81,15699.27,18978.22,19567.97,29357.2
h_0,8.05,9.96,11.58,13.22,18.79,52.34,1072.36,2661.95,2937.01,3706.34,4157.94,6563.34,11234.16,14005.35,16086.83,27903.51
e_0,7.34,7.92,8.81,12.53,22.57,51.11,1111.57,2134.65,2675.91,3214.31,3945.42,5100.77,10408.25,16785.77,24155.74,24106.47
g_0,8.94,7.03,9.25,11.51,16.21,39.72,985.2,1769.43,2836.66,2907.18,3921.16,6565.25,8661.7,13105.6,16774.35,20218.19
