,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.46,39.38,28.51,28.98,29.75,38.5,9.6,7.81,5.99,,8.78,6.1,3.96,6.67,2.71,6.63
f_1,35.62,0.44,32.39,33.09,38.5,25.77,7.59,8.27,13.38,6.75,6.06,,3.27,7.77,4.33,5.66
e_1,42.2,18.52,0.44,33.5,36.47,40.79,9.16,7.66,10.52,5.36,6.65,9.69,4.15,9.54,6.58,
c_1,41.28,46.08,40.03,0.4,42.73,37.54,7.56,,8.07,4.0,6.72,7.2,6.52,10.81,4.59,10.66
b_1,38.47,38.58,37.24,19.96,0.39,,13.5,8.47,12.24,6.19,,9.47,6.54,6.75,6.4,6.15
a_1,44.85,42.25,42.55,46.07,,0.33,16.03,10.59,12.33,10.5,9.98,11.74,7.51,,7.75,
h_1,13.95,16.75,21.55,27.39,17.45,21.4,0.38,3.24,4.83,3.67,3.62,4.2,,2.7,2.99,2.55
c_0,7.65,17.51,17.4,,14.03,14.47,3.73,0.52,4.58,3.36,3.42,2.49,2.97,3.46,2.05,3.5
g_1,22.21,22.47,30.82,19.85,25.47,19.39,3.79,4.82,0.34,4.04,3.63,3.15,2.73,4.89,,2.84
d_0,,12.64,8.82,15.18,16.62,18.98,4.14,2.74,8.89,0.48,5.52,2.48,2.02,3.95,2.27,3.05
b_0,17.57,14.81,18.11,23.01,,11.76,5.13,1.86,4.38,3.0,0.48,4.46,2.28,5.78,2.41,3.05
f_0,19.54,,15.61,27.28,13.91,17.05,5.5,3.42,2.66,3.98,3.19,0.46,2.4,3.77,1.68,3.66
h_0,12.95,12.2,12.73,10.5,11.17,13.25,,2.69,3.16,2.46,2.4,3.34,,1.72,1.69,2.64
a_0,20.45,25.69,26.25,25.21,24.95,,4.77,3.28,5.29,7.18,2.09,5.35,2.15,0.4,3.54,3.66
g_0,17.7,23.69,18.1,12.69,14.17,12.87,2.81,2.41,,4.66,2.6,2.26,1.16,1.96,,3.56
e_0,20.37,21.01,,16.4,30.31,,7.47,4.61,6.13,5.87,4.1,1.7,2.78,3.32,2.49,0.41
