,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.23,0.93,0.44,0.44,0.39,0.31,0.88,1.0,0.95,0.67,0.81,0.38,0.96,0.51,0.68,1.02
e_1,0.52,2.26,0.63,0.46,0.3,0.36,0.86,1.93,0.86,0.69,1.18,0.94,1.39,0.41,0.91,1.06
c_1,0.55,0.39,2.42,0.4,0.91,0.36,0.84,0.97,0.35,0.68,0.6,0.94,1.22,0.94,0.65,0.9
d_1,0.66,0.53,0.36,2.47,0.41,0.27,0.8,0.41,1.77,0.73,0.99,0.98,1.48,0.81,0.86,1.2
b_1,0.49,0.42,0.48,0.47,2.56,0.85,0.76,0.91,0.86,0.64,0.29,0.88,1.18,0.86,0.5,0.94
a_1,0.51,0.4,0.44,0.51,0.49,3.01,1.06,1.09,1.11,1.15,1.05,1.05,1.05,0.81,0.26,1.08
h_1,0.86,0.58,0.47,0.68,0.51,0.39,3.02,1.08,1.13,1.24,1.09,1.12,0.75,1.13,0.97,1.79
d_0,0.58,0.62,1.1,0.27,0.64,0.39,0.96,2.5,1.08,0.93,1.21,1.22,1.55,1.21,0.87,1.43
c_0,0.66,0.62,0.36,0.7,0.47,0.44,1.29,1.19,2.62,0.98,2.39,1.32,1.72,0.9,1.15,1.6
g_1,0.54,0.52,0.66,0.88,0.49,0.46,0.89,1.1,1.13,3.37,1.0,1.75,1.45,1.06,0.92,0.44
b_0,0.76,0.66,0.65,0.53,0.23,0.26,1.28,1.23,1.4,1.14,2.95,1.09,1.79,1.08,2.41,1.39
f_0,0.39,0.51,0.7,0.72,0.54,0.49,1.17,1.28,1.06,1.08,1.29,2.9,1.55,2.46,1.15,1.43
h_0,0.93,0.57,0.64,0.61,0.44,0.45,0.61,1.44,1.45,1.26,1.35,1.03,0.99,0.82,0.9,1.79
e_0,0.65,0.28,0.66,0.81,0.63,0.38,1.25,1.37,1.31,0.92,1.0,1.32,1.44,3.01,1.27,1.76
a_0,0.77,0.62,0.57,0.75,0.58,,1.01,1.63,1.43,0.73,1.24,1.12,1.87,1.22,3.16,1.49
g_0,0.54,0.54,0.58,1.05,0.49,0.44,1.0,1.05,1.41,0.76,1.29,1.78,1.18,1.02,1.07,0.82
