,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.89,0.92,0.79,0.61,0.4,0.45,0.43,0.37,0.37,0.37,0.28,0.32,0.27,0.3
e_1,0.81,1.0,0.92,1.07,0.91,0.7,0.5,0.48,0.59,0.4,0.47,0.44,0.35,0.36,0.37,0.32
d_1,1.11,1.1,1.0,0.84,0.81,0.61,0.47,0.38,0.5,0.54,0.39,0.39,0.35,0.32,0.34,0.25
c_1,1.06,0.94,1.18,1.0,1.3,0.77,0.51,0.47,0.31,0.35,0.41,0.32,0.34,0.34,0.36,0.29
b_1,1.27,1.08,1.23,0.79,1.0,1.25,0.62,0.57,0.48,0.5,0.41,0.44,0.44,0.32,0.38,0.33
a_1,1.63,1.47,1.62,1.3,0.8,1.0,0.73,0.72,0.51,0.65,0.59,0.7,0.54,0.42,0.44,0.43
h_1,2.48,2.04,2.1,1.98,1.59,1.37,1.0,1.06,0.9,0.7,0.74,0.73,0.68,0.58,0.59,0.73
g_1,2.27,2.12,2.59,2.17,1.73,1.37,0.96,1.0,0.86,0.93,1.02,0.8,0.6,0.77,0.72,0.61
d_0,2.28,1.74,2.03,3.23,2.13,2.03,1.11,1.16,1.0,0.77,0.95,0.8,0.75,0.8,0.66,0.73
c_0,2.72,2.44,1.94,2.74,1.95,1.61,1.42,1.1,1.3,1.0,0.9,1.4,0.83,0.93,0.84,0.7
f_0,2.69,2.14,2.46,2.31,2.42,1.71,1.41,1.01,1.04,1.07,1.0,0.87,0.87,0.78,1.14,0.64
b_0,2.77,2.26,2.42,3.23,2.33,1.4,1.33,1.2,1.19,0.73,1.08,1.0,0.91,1.34,0.84,0.81
h_0,3.4,2.84,2.85,2.88,2.27,1.84,1.53,1.68,1.29,1.16,1.17,1.12,1.0,1.01,0.87,0.95
a_0,3.06,2.79,3.07,3.06,3.15,2.13,1.68,1.25,1.23,1.09,1.22,0.81,0.99,1.0,1.07,0.89
e_0,3.6,2.86,3.05,2.82,2.61,2.31,1.73,1.31,1.51,1.15,0.86,1.22,1.2,0.97,1.0,0.76
g_0,3.41,3.1,3.88,3.46,2.97,2.46,1.4,1.6,1.35,1.47,1.56,1.24,1.06,1.11,1.29,1.0
