,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.65,0.92,0.67,1.17,0.99,0.83,0.43,0.45,0.36,0.46,0.43,0.36,0.3,0.36,0.4,0.3
d_1,1.06,0.64,0.99,0.97,0.95,0.82,0.42,0.31,0.38,0.41,0.35,0.32,0.27,0.34,0.32,0.21
f_1,1.05,0.95,0.64,0.91,0.94,0.82,0.35,0.47,0.34,0.35,0.38,0.32,0.23,0.32,0.29,0.32
c_1,0.78,1.15,1.02,0.63,1.12,0.93,0.45,0.51,0.44,0.24,0.35,0.33,0.29,0.3,0.35,0.26
b_1,1.04,1.08,1.18,0.68,0.62,1.05,0.5,0.49,0.44,0.37,0.35,0.43,0.31,0.34,0.38,0.3
a_1,1.26,1.29,1.35,1.08,0.72,0.58,0.59,0.55,0.5,0.51,0.46,0.62,0.34,0.53,0.42,0.34
h_1,1.44,1.53,1.66,1.56,1.44,1.29,0.54,0.66,0.53,0.58,0.54,0.56,0.52,0.45,0.45,0.48
g_1,1.68,1.69,1.68,1.72,1.57,1.39,0.67,0.51,0.59,0.66,0.59,0.61,0.4,0.54,0.55,0.55
c_0,1.89,1.26,1.79,2.2,2.05,1.5,0.79,0.69,0.53,0.95,0.64,0.71,0.58,0.66,0.6,0.49
d_0,1.19,2.21,1.65,2.17,1.77,1.45,0.84,0.85,0.58,0.54,0.65,0.69,0.55,0.59,0.62,0.61
f_0,1.73,1.75,2.27,1.79,1.92,1.59,0.8,0.63,0.64,0.72,0.52,0.62,0.55,0.56,0.68,0.4
b_0,1.74,1.72,1.89,2.61,2.13,1.5,0.78,0.71,0.45,0.72,0.65,0.52,0.55,0.72,0.6,0.51
h_0,2.03,2.05,2.25,1.91,1.84,1.86,0.99,0.99,0.71,0.81,0.68,0.67,0.68,0.66,0.61,0.64
a_0,2.16,1.91,2.05,2.46,2.36,1.96,0.98,0.9,0.65,0.81,0.77,0.47,0.67,0.52,0.77,0.65
e_0,2.3,2.06,2.72,2.1,1.8,1.71,0.96,0.87,0.78,0.78,0.48,0.76,0.63,0.68,0.5,0.55
g_0,2.15,2.24,2.26,2.1,2.06,2.09,0.77,0.96,0.79,0.83,0.8,0.75,0.51,0.62,0.71,0.65
