,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.14,0.97,1.37,1.7,3.74,18.5,20.71,29.93,39.63,37.1,49.64,78.15,89.14,92.36,114.58
f_1,0.87,1.0,1.32,1.54,1.57,2.85,15.76,26.51,26.09,25.69,28.15,39.6,55.24,67.44,123.69,74.16
e_1,1.02,0.76,1.0,1.61,1.75,3.43,21.08,24.62,36.57,30.77,36.88,49.28,69.33,76.37,100.06,100.41
c_1,0.73,0.65,0.62,1.0,1.54,2.09,13.68,16.93,13.74,13.83,18.45,35.73,54.12,46.44,65.52,76.91
b_1,0.58,0.64,0.57,0.66,1.0,2.82,10.68,14.76,15.43,16.13,21.5,30.14,41.47,53.86,71.35,67.44
a_1,0.27,0.35,0.29,0.48,0.36,1.0,6.76,9.9,8.61,8.5,12.0,14.18,22.73,27.65,37.79,37.67
h_1,0.05,0.06,0.05,0.08,0.09,0.15,1.0,1.67,1.36,1.29,1.67,2.25,4.13,4.16,6.51,5.99
g_1,0.05,0.04,0.04,0.06,0.07,0.11,0.61,1.0,1.01,1.15,1.31,2.18,2.47,2.88,3.09,4.46
d_0,0.03,0.04,0.03,0.08,0.06,0.12,0.71,0.97,1.0,0.94,1.36,1.47,2.89,2.39,3.99,4.82
c_0,0.02,0.04,0.03,0.06,0.06,0.12,0.79,0.89,1.11,1.0,1.68,1.65,2.7,2.89,3.43,4.41
b_0,0.03,0.03,0.03,0.05,0.04,0.09,0.6,0.75,0.73,0.59,1.0,1.21,2.17,2.89,3.28,2.82
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.43,0.45,0.61,0.63,0.8,1.0,1.61,1.83,1.9,4.07
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.4,0.35,0.39,0.46,0.62,1.0,1.02,1.74,1.27
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.36,0.41,0.36,0.36,0.51,0.96,1.0,1.37,1.42
g_0,0.01,0.01,0.01,0.02,0.01,0.03,0.14,0.31,0.23,0.29,0.31,0.54,0.59,0.75,1.0,1.14
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.23,0.2,0.22,0.37,0.26,0.79,0.69,0.85,1.0
