,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,13.57,0.54,0.73,0.49,0.6,0.6,0.99,0.95,2.38,0.53,1.52,1.01,0.96,1.2,1.09,1.13
e_1,0.48,12.3,0.66,0.89,0.69,0.7,0.86,0.86,0.87,2.24,0.89,1.18,1.07,1.1,0.62,0.93
f_1,0.52,1.84,13.42,0.65,0.57,0.5,0.64,0.77,0.82,0.91,0.98,0.48,0.96,0.86,0.6,0.6
c_1,0.64,0.52,0.54,15.54,1.62,0.74,0.9,0.8,0.41,0.78,0.62,1.01,0.85,0.75,0.72,0.95
b_1,0.78,0.48,0.7,0.64,16.17,1.55,1.17,0.87,0.76,0.72,0.53,0.85,0.78,0.51,1.18,1.06
a_1,0.74,0.65,0.8,0.68,0.51,21.95,1.1,1.01,0.81,1.16,0.83,1.04,1.3,0.57,1.29,1.11
h_1,0.78,0.61,1.06,0.85,0.74,0.71,3.67,1.42,0.97,0.95,1.11,0.92,0.73,0.87,1.23,1.66
g_1,1.84,0.5,0.43,0.79,0.74,0.7,1.04,4.73,1.03,0.74,1.05,2.01,1.05,1.27,1.59,0.79
c_0,0.98,0.77,0.78,0.46,0.58,0.68,0.98,1.23,2.41,1.13,3.07,1.22,1.35,1.71,1.12,1.16
d_0,0.47,0.76,0.83,2.39,0.71,0.58,0.95,1.07,0.6,2.26,0.76,1.08,1.07,0.99,1.15,1.13
b_0,1.08,0.75,0.75,0.7,0.38,0.53,1.22,1.24,1.21,0.98,2.87,0.97,1.3,3.88,1.09,1.27
f_0,0.88,0.46,0.62,0.78,0.72,1.04,1.39,1.34,1.21,0.97,1.22,2.94,1.5,1.17,4.15,1.24
h_0,0.95,0.69,1.36,0.85,0.73,0.53,0.62,1.49,1.14,0.87,0.89,0.91,0.77,1.32,0.82,1.45
a_0,1.01,0.84,0.75,0.88,0.53,0.5,1.3,1.29,1.23,1.09,1.23,1.2,1.22,3.04,0.97,1.17
e_0,0.98,0.51,0.81,0.83,0.77,0.73,1.3,1.13,1.15,0.93,1.15,1.11,1.56,1.22,3.42,1.3
g_0,1.73,0.59,0.72,0.71,0.63,0.71,1.08,1.02,1.24,0.83,1.0,1.99,0.97,1.35,1.11,1.01
