,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,13.31,1.55,0.55,0.63,0.52,0.58,0.91,0.82,0.94,0.71,0.83,0.47,0.97,0.95,0.63,0.85
e_1,0.73,12.89,0.58,0.92,0.51,0.57,0.97,0.97,2.31,0.87,1.08,1.04,0.91,0.97,0.69,0.85
d_1,0.69,0.6,14.84,0.47,0.58,0.65,1.06,0.88,0.46,2.46,1.19,1.1,1.13,1.03,1.17,1.13
c_1,0.55,0.51,0.64,14.59,1.95,0.69,0.72,0.8,0.79,0.49,0.68,0.94,0.88,0.8,0.88,0.84
b_1,0.62,0.5,0.59,0.71,16.16,1.68,0.82,0.77,0.86,0.94,0.58,0.96,0.93,0.68,1.03,0.86
a_1,0.75,0.67,0.84,0.62,0.61,21.54,1.05,1.2,0.86,0.83,0.92,0.93,1.04,0.73,0.9,1.06
h_1,1.42,0.64,0.8,0.73,0.62,0.56,3.51,1.4,0.96,0.91,1.26,1.13,0.76,1.06,1.27,1.78
g_1,0.49,0.68,1.54,0.7,0.7,0.61,1.05,4.54,0.91,1.03,1.27,2.11,0.76,1.19,1.25,1.03
d_0,0.71,0.68,0.45,2.51,0.84,0.71,0.9,1.0,2.29,0.53,0.85,1.04,1.09,0.9,1.2,0.94
c_0,0.8,0.74,0.9,0.59,0.51,0.59,1.24,1.27,1.05,1.98,3.17,1.24,1.45,1.53,1.4,1.44
b_0,0.89,0.68,0.93,0.78,0.59,0.59,1.29,1.26,1.1,1.12,2.88,1.31,1.19,3.11,1.31,1.22
f_0,0.54,0.51,0.89,0.83,0.73,0.93,1.03,1.05,1.08,1.42,1.11,2.94,1.36,1.16,3.36,1.37
h_0,1.15,0.64,1.0,0.76,0.66,0.71,0.77,1.35,0.84,1.13,1.08,1.03,0.8,1.3,0.96,1.86
a_0,0.68,0.64,0.95,0.84,1.04,0.36,1.33,1.39,1.05,1.25,1.21,1.6,1.27,3.47,1.42,1.12
e_0,0.67,0.41,0.93,0.99,0.86,0.73,1.16,1.2,0.94,1.2,1.44,1.19,1.69,1.17,3.05,1.38
g_0,0.63,0.6,1.79,0.73,0.73,0.73,1.01,0.67,0.76,1.17,1.06,1.7,1.25,1.27,1.31,0.68
