,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.97,0.85,0.71,0.81,0.72,0.57,1.01,0.71,0.81,0.6,0.61,0.62,0.46,
f_1,1.2,1.0,1.12,0.9,0.75,0.97,0.65,0.89,0.63,0.65,0.67,,0.54,0.44,0.77,0.46
d_1,1.03,0.89,1.0,1.14,0.92,0.98,0.89,0.59,,0.88,0.66,0.47,0.54,0.61,0.49,
c_1,1.18,1.11,0.88,1.0,1.29,0.76,0.7,0.69,0.48,,0.56,0.54,0.66,0.71,0.62,0.65
b_1,1.41,1.33,1.09,0.77,1.0,1.02,0.65,0.61,0.71,0.62,,0.91,0.63,0.64,0.51,0.54
a_1,1.23,1.04,1.02,1.31,0.98,1.0,,0.72,0.92,0.88,0.65,0.57,,0.81,0.54,
h_1,1.4,1.54,1.13,1.43,1.54,,1.0,1.03,0.84,0.95,0.9,0.81,0.67,,1.21,0.89
g_1,1.74,1.12,1.68,1.45,1.65,1.4,0.97,1.0,0.85,0.85,0.73,1.25,0.9,0.59,,1.01
d_0,0.99,1.59,,2.08,1.42,1.08,1.19,1.17,1.0,0.83,1.0,1.11,0.75,0.95,0.9,0.73
c_0,1.42,1.53,1.14,,1.62,1.14,1.05,1.18,1.2,1.0,1.28,1.36,0.86,0.88,0.77,0.69
b_0,1.23,1.49,1.51,1.77,,1.54,1.11,1.36,1.0,0.78,1.0,0.92,1.15,1.16,0.97,0.68
f_0,1.66,,2.11,1.86,1.1,1.76,1.23,0.8,0.9,0.74,1.09,1.0,0.85,1.63,0.61,1.24
a_0,1.65,1.85,1.85,1.52,1.58,,1.49,1.11,1.33,1.16,0.87,1.17,1.0,0.62,0.76,
h_0,1.6,2.28,1.63,1.4,1.55,1.23,,1.7,1.05,1.14,0.86,0.62,1.62,,1.09,0.72
g_0,2.18,1.3,2.03,1.6,1.96,1.84,0.83,,1.11,1.31,1.03,1.65,1.31,0.92,,0.95
e_0,,2.16,,1.53,1.85,,1.13,0.99,1.38,1.45,1.46,0.81,,1.39,1.05,1.0
