,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.01,0.11,0.09,0.12,0.12,0.15,0.16,0.28,0.19,0.23,0.32,,0.22,0.31,0.45,0.32
e_1,0.05,0.01,0.1,0.11,0.1,0.18,0.17,0.41,0.26,0.23,0.23,0.34,0.28,0.34,,0.35
d_1,0.07,0.06,0.01,0.06,0.07,0.11,0.15,0.11,,0.19,0.14,0.21,0.18,0.26,0.34,0.19
c_1,0.05,0.05,0.07,0.01,0.08,0.1,0.14,0.2,0.1,,0.15,0.13,0.19,0.24,0.28,0.26
b_1,0.04,0.04,0.05,0.03,0.01,0.1,0.11,0.08,0.1,0.16,,0.12,0.11,0.14,0.2,0.22
a_1,0.02,0.01,0.01,0.01,0.01,,0.02,,0.03,0.03,0.03,,0.03,,0.05,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
