,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.95,0.46,0.38,0.52,0.31,0.31,0.31,0.51,0.27,0.25,0.3,0.27,0.24,0.29,0.25,0.17
f_1,0.72,0.95,0.4,0.42,0.34,0.25,0.31,0.26,0.26,0.28,0.22,0.14,0.19,0.21,0.2,0.12
d_1,0.54,0.57,0.95,0.33,0.34,0.28,0.33,0.21,0.21,0.45,0.29,0.27,0.22,0.26,0.24,0.22
c_1,0.45,0.52,0.52,0.94,0.61,0.27,0.33,0.24,0.27,0.16,0.22,0.23,0.18,0.22,0.18,0.19
b_1,0.52,0.52,0.55,0.39,0.94,0.6,0.36,0.27,0.28,0.25,0.18,0.31,0.2,0.31,0.24,0.24
a_1,0.56,0.63,0.58,0.55,0.3,0.94,0.41,0.35,0.29,0.35,0.34,0.33,0.16,0.32,0.39,0.23
h_1,0.77,0.97,0.76,0.64,0.56,0.4,0.76,0.41,0.45,0.4,0.36,0.37,0.3,0.31,0.4,0.3
d_0,0.62,0.88,0.6,1.24,0.68,0.47,0.54,0.66,0.44,0.32,0.44,0.42,0.35,0.4,0.39,0.32
g_1,0.74,0.64,1.14,0.74,0.55,0.45,0.5,0.42,0.75,0.51,0.46,0.65,0.38,0.32,0.35,0.37
c_0,0.99,0.84,0.66,0.72,0.53,0.51,0.56,0.66,0.4,0.66,0.71,0.49,0.38,0.51,0.52,0.31
b_0,0.82,1.06,0.81,0.91,0.44,0.35,0.6,0.56,0.44,0.4,0.66,0.46,0.67,0.41,0.42,0.35
f_0,0.75,0.74,0.89,0.86,0.63,0.51,0.62,0.54,0.4,0.46,0.48,0.68,0.43,0.49,0.42,0.65
a_0,0.84,1.01,0.99,1.07,0.75,0.36,0.65,0.61,0.45,0.46,0.41,0.45,0.65,0.48,0.41,0.41
h_0,0.87,1.23,0.88,0.85,0.55,0.56,0.53,0.61,0.65,0.44,0.48,0.45,0.42,0.37,0.56,0.32
g_0,0.89,0.94,1.25,0.95,0.65,0.43,0.64,0.54,0.34,0.44,0.54,0.66,0.48,0.46,0.38,0.36
e_0,0.65,1.3,0.97,0.92,0.78,0.54,0.66,0.57,0.5,0.55,0.52,0.43,0.41,0.55,0.47,0.61
