,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.01,1.08,1.0,0.78,0.8,0.75,0.76,0.86,0.66,0.67,0.6,0.64,0.57,0.58
f_1,1.33,1.0,0.9,1.05,0.81,0.83,0.56,0.65,0.56,0.58,0.56,0.58,0.53,0.46,0.45,0.58
d_1,0.99,1.1,1.0,0.84,0.97,0.87,0.75,0.59,0.81,0.69,0.59,0.66,0.56,0.52,0.66,0.45
c_1,0.94,0.94,1.18,1.0,1.31,0.92,0.75,0.64,0.46,0.49,0.62,0.51,0.61,0.62,0.58,0.56
b_1,1.01,1.24,1.04,0.77,1.0,1.37,0.82,0.75,0.74,0.67,0.73,0.75,0.56,0.71,0.52,0.64
a_1,1.29,1.21,1.16,1.09,0.71,1.0,0.89,0.9,0.78,0.95,0.79,0.83,0.85,0.79,0.79,0.77
h_1,1.26,1.82,1.29,1.32,1.28,1.11,1.0,1.26,0.86,0.88,0.77,0.91,0.83,0.91,0.8,0.93
g_1,1.36,1.47,1.79,1.46,1.36,1.05,0.8,1.0,0.95,0.81,1.17,0.88,0.78,0.78,0.82,0.92
c_0,1.36,1.77,1.26,2.07,1.3,1.25,1.16,1.01,1.0,1.07,0.95,1.47,1.08,1.05,1.02,0.94
d_0,1.15,1.62,1.47,2.04,1.54,1.02,1.15,1.2,0.94,1.0,0.92,0.96,1.02,1.08,0.99,0.87
f_0,1.44,1.82,1.65,1.61,1.41,1.22,1.26,0.86,1.06,1.07,1.0,0.94,0.93,0.98,1.34,0.74
b_0,1.53,1.78,1.43,2.06,1.47,1.16,1.03,1.15,0.7,1.03,1.11,1.0,1.31,1.0,0.86,0.94
a_0,1.66,1.9,1.79,1.71,1.76,1.27,1.26,1.3,0.97,1.02,1.08,0.74,1.0,1.12,0.8,0.98
h_0,1.62,2.21,1.89,1.58,1.43,1.23,1.1,1.26,0.95,0.96,1.02,0.97,0.92,1.0,0.84,1.07
e_0,1.84,2.19,1.56,1.74,1.9,1.18,1.18,1.25,1.1,1.04,0.76,1.11,1.15,1.11,1.0,0.89
g_0,1.68,1.72,2.17,1.8,1.58,1.36,1.06,1.09,1.05,1.11,1.38,1.11,1.06,0.92,1.03,1.0
