,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.67,1.28,1.85,2.24,2.17,1.89,1.07,0.97,1.1,0.61,0.84,0.8,0.66,0.74,2.19,0.74
f_1,2.26,0.66,2.08,2.3,1.99,1.95,0.69,0.95,0.62,0.68,1.07,0.7,0.44,0.68,0.62,0.59
d_1,3.28,2.1,0.65,1.94,1.9,1.71,1.0,0.72,1.48,0.87,0.75,0.74,0.7,0.79,0.56,0.38
c_1,1.86,2.07,2.34,0.64,2.9,2.28,0.98,0.8,0.52,1.3,0.66,0.68,0.72,0.87,0.79,0.64
b_1,2.09,2.97,2.23,1.38,0.64,2.6,0.84,0.88,0.86,1.03,0.67,1.61,0.66,0.63,0.81,0.68
a_1,2.98,2.6,2.7,2.69,1.47,0.58,1.26,1.22,0.95,0.94,0.97,1.23,0.71,2.03,0.98,0.72
h_1,2.14,3.21,2.5,2.61,3.29,2.14,0.6,1.27,0.98,0.79,0.86,1.07,1.17,0.92,0.82,0.93
g_1,2.82,3.28,2.82,3.39,2.74,2.25,1.06,0.58,0.82,1.09,1.02,1.04,0.57,0.84,0.82,1.03
d_0,1.62,3.85,5.0,3.47,2.72,3.04,1.49,1.74,0.65,1.03,1.05,0.97,0.81,1.05,0.96,1.06
c_0,2.94,3.15,1.84,9.5,2.93,2.86,1.75,1.32,1.27,0.68,1.54,1.11,0.91,1.2,0.94,0.97
f_0,2.86,7.08,3.15,3.05,2.67,2.8,1.62,0.96,1.31,0.94,0.62,1.09,0.83,0.98,1.32,0.6
b_0,2.71,3.31,2.75,3.69,6.48,2.45,1.24,1.68,1.14,0.66,1.43,0.62,0.95,1.29,1.14,0.93
h_0,3.04,3.98,2.92,3.32,3.24,2.97,2.83,2.41,1.35,1.29,1.34,1.0,1.92,1.19,0.96,1.1
a_0,3.21,3.96,3.13,3.19,4.48,,1.92,1.71,1.45,1.19,1.31,0.73,1.04,0.57,1.09,1.45
e_0,5.14,4.17,3.89,3.35,3.48,2.83,1.57,1.66,1.49,1.5,0.82,1.28,1.3,1.22,0.58,0.93
g_0,3.4,4.41,4.22,3.35,3.37,3.59,1.23,3.45,1.38,1.36,1.32,1.33,0.96,0.95,1.25,1.53
