,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.44,2.99,2.78,2.68,2.59,0.9,0.9,1.28,0.95,0.85,1.84,0.55,0.82,0.95,0.74
e_1,2.18,1.07,3.13,3.38,3.16,3.31,1.37,1.34,1.35,1.15,0.91,0.97,0.72,0.91,3.45,0.8
c_1,4.05,3.64,1.07,3.76,4.07,2.99,1.24,0.64,1.06,1.34,0.95,0.94,0.84,0.84,0.74,0.69
d_1,4.4,4.0,3.45,1.07,3.29,3.11,1.28,1.92,0.96,1.06,1.09,0.97,0.86,1.0,0.65,0.62
b_1,4.05,4.61,2.5,4.21,1.07,3.84,1.84,1.24,1.32,1.16,1.98,1.0,0.97,0.99,0.87,0.96
a_1,5.55,5.21,5.22,5.21,3.09,1.07,2.35,1.71,2.3,1.78,1.69,1.81,1.1,4.59,1.39,0.92
h_1,8.41,6.47,8.27,7.16,6.01,5.62,1.39,2.26,2.98,1.97,2.05,1.82,2.44,1.96,1.89,1.58
d_0,10.4,4.62,11.84,11.92,10.1,7.35,3.61,1.65,3.7,2.47,2.56,2.36,2.4,2.19,2.24,1.97
g_1,10.18,8.47,11.31,8.74,9.73,7.3,2.75,2.58,1.39,2.53,3.25,2.7,1.69,2.73,2.14,2.65
c_0,9.38,7.56,20.22,6.18,11.16,7.69,3.21,2.85,3.86,1.62,3.44,2.72,2.58,2.26,2.14,2.18
b_0,9.75,9.65,10.66,7.85,24.23,8.5,3.52,2.77,2.8,1.55,1.62,2.38,1.94,3.54,2.78,2.28
f_0,27.27,9.86,11.52,12.96,9.01,6.76,4.58,3.28,2.38,3.78,3.21,1.63,2.53,3.21,3.62,1.6
h_0,14.17,13.26,12.44,10.29,11.01,11.55,7.18,3.25,4.51,3.03,3.29,2.88,4.71,2.81,2.67,2.92
a_0,13.66,13.03,13.99,11.67,13.07,,4.92,3.84,3.39,3.49,1.91,2.64,2.97,1.63,3.03,3.13
e_0,17.06,,16.03,17.05,16.99,9.45,4.83,3.52,4.74,3.68,3.38,1.81,3.11,3.36,1.7,2.01
g_0,13.33,13.94,15.74,13.33,11.21,16.47,5.69,4.85,7.65,4.51,3.98,4.68,2.56,3.57,5.29,5.34
