,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.85,1.04,0.93,0.7,0.46,0.59,0.46,0.38,0.42,0.45,0.3,0.34,0.33,0.34
f_1,1.26,1.0,0.93,0.98,0.77,0.6,0.4,0.43,0.47,0.38,0.35,0.32,0.35,0.3,0.26,0.29
d_1,1.16,1.08,1.0,0.89,0.83,0.71,0.57,0.44,0.37,0.55,0.45,0.36,0.38,0.33,0.33,0.27
c_1,0.96,1.02,1.15,1.0,1.23,0.74,0.53,0.32,0.42,0.36,0.33,0.37,0.34,0.35,0.32,0.34
b_1,1.07,1.28,1.19,0.82,1.0,1.15,0.57,0.47,0.49,0.53,0.42,0.4,0.34,0.4,0.4,0.31
a_1,1.43,1.6,1.39,1.37,0.9,1.0,0.81,0.54,0.64,0.61,0.64,0.53,0.44,0.53,0.41,0.46
h_1,2.13,2.46,1.84,1.84,1.74,1.25,1.0,0.81,0.95,0.76,0.72,0.67,0.66,0.7,0.64,0.71
d_0,1.72,2.32,2.29,3.14,2.17,1.76,1.17,1.0,1.09,0.77,0.9,0.83,0.85,0.84,0.8,0.72
g_1,2.12,2.21,2.71,2.41,1.98,1.52,1.1,0.89,1.0,0.97,0.85,1.06,0.92,0.66,0.83,0.75
c_0,2.57,2.68,1.86,2.88,1.82,1.6,1.35,1.24,1.03,1.0,1.3,0.95,0.97,0.82,0.79,0.79
b_0,2.42,2.82,2.2,2.96,2.41,1.5,1.44,1.07,1.15,0.78,1.0,0.91,1.3,0.93,0.82,0.84
f_0,2.22,3.28,2.77,2.66,2.55,1.73,1.48,1.16,0.96,1.04,1.11,1.0,0.91,0.92,1.23,0.74
a_0,3.23,2.9,2.59,2.87,2.9,2.23,1.55,1.23,1.13,1.03,0.77,1.1,1.0,1.01,0.97,0.9
h_0,3.02,3.35,3.07,2.77,2.51,1.95,1.41,1.21,1.48,1.19,1.09,1.05,1.0,1.0,0.85,1.06
e_0,3.26,3.99,2.93,3.1,2.48,2.43,1.44,1.29,1.14,1.33,1.29,0.83,1.03,1.17,1.0,0.93
g_0,2.99,3.34,3.86,2.92,3.22,2.22,1.41,1.36,1.34,1.33,1.23,1.4,1.11,0.96,1.15,1.0
