,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,12.25,0.71,0.56,0.89,0.64,0.61,0.94,0.89,2.11,0.8,0.94,0.98,0.95,0.88,0.97,0.75
f_1,1.76,12.26,0.58,0.66,0.49,0.49,0.9,0.84,1.01,0.8,0.98,0.51,0.78,0.85,0.93,0.64
d_1,0.54,0.72,15.67,0.43,0.66,0.64,0.99,1.09,0.55,2.51,1.37,1.29,1.11,0.94,1.0,1.0
c_1,0.53,0.59,0.69,13.06,1.54,0.72,0.81,0.87,0.83,0.5,0.58,0.79,0.92,0.98,0.94,0.88
b_1,0.59,0.62,0.65,0.67,15.11,1.5,0.81,0.74,0.79,0.99,0.6,0.84,1.05,0.94,0.73,1.14
a_1,0.55,0.71,0.63,0.75,0.7,21.71,1.12,1.1,0.88,0.65,0.97,0.94,1.14,1.09,0.62,0.98
h_1,0.67,1.07,0.81,0.78,0.63,0.66,3.75,1.42,0.86,0.97,1.17,1.39,0.75,1.68,1.22,1.3
g_1,0.61,0.62,1.74,0.67,0.64,0.72,1.01,4.53,0.6,1.09,1.1,2.14,1.15,0.87,1.17,1.46
d_0,0.64,0.9,0.48,2.15,0.69,0.65,0.96,0.92,2.2,0.68,0.98,1.04,1.19,1.06,1.08,1.25
c_0,0.77,0.81,0.94,0.58,0.52,0.66,1.29,1.05,1.12,2.59,3.24,1.34,1.11,1.32,1.44,1.11
b_0,0.66,0.87,1.01,0.87,0.57,0.63,1.18,1.03,0.95,0.98,2.83,1.08,1.24,1.4,3.08,1.17
f_0,0.5,0.51,1.05,0.86,0.71,1.01,1.0,1.17,1.09,1.28,1.26,3.24,1.36,1.51,1.31,3.18
h_0,0.65,1.55,0.8,0.72,0.63,0.64,0.79,1.43,0.95,1.0,0.98,1.02,0.85,1.45,1.04,0.99
g_0,0.54,0.71,2.04,0.8,0.6,0.6,1.09,0.82,0.82,0.97,1.15,2.03,1.15,0.76,0.91,1.05
a_0,0.77,0.91,0.72,0.99,0.7,0.59,1.15,0.9,1.08,1.23,1.21,1.19,1.44,1.1,3.39,1.13
e_0,0.39,0.77,1.01,0.98,0.65,0.93,1.39,1.05,1.01,1.03,1.2,1.46,1.29,1.36,1.17,3.63
