,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.41,1.34,1.71,1.31,1.66,1.48,2.93,2.9,5.02,2.99,3.47,3.08,3.07,4.14,3.17,4.44
f_1,2.11,2.46,1.5,1.37,1.41,1.22,2.56,2.93,3.16,2.76,2.66,2.89,3.13,3.67,2.3,3.83
c_1,1.42,1.49,2.57,1.47,2.18,1.41,2.81,2.83,2.63,2.46,3.23,2.76,3.02,4.08,3.48,3.71
d_1,1.52,1.62,1.25,2.63,1.34,1.5,2.81,2.77,2.43,5.07,3.46,3.67,3.95,4.33,3.72,3.74
b_1,1.33,1.45,1.4,1.57,2.66,2.59,2.8,2.62,3.36,3.37,3.19,2.93,2.7,4.12,3.38,4.35
a_1,1.39,1.69,1.69,1.5,1.3,3.41,3.36,2.82,3.15,3.36,3.35,3.66,2.77,4.06,3.71,4.19
h_1,1.52,2.01,1.5,1.57,1.41,1.43,4.14,3.63,3.17,3.04,3.12,3.26,3.04,3.56,3.24,4.88
g_1,1.44,1.45,1.54,2.22,1.45,1.51,2.69,4.51,2.68,3.36,4.44,3.54,3.46,4.03,3.42,3.74
d_0,1.25,1.63,2.61,1.26,1.54,1.41,3.05,3.08,4.15,2.55,3.35,3.18,3.57,3.81,3.53,4.34
c_0,1.6,1.75,1.42,1.52,1.32,1.43,3.27,3.3,3.34,4.65,3.51,5.59,4.2,4.41,3.33,4.81
f_0,1.43,1.51,1.71,1.63,1.51,1.57,3.16,2.85,3.63,3.21,4.76,3.91,3.89,4.46,6.35,3.67
b_0,1.62,1.75,1.69,1.71,1.14,1.14,3.21,3.42,2.86,3.3,3.33,4.91,6.16,4.04,2.99,4.3
a_0,1.58,1.7,1.65,1.54,1.54,1.38,3.25,3.35,3.12,3.57,3.88,3.06,5.2,4.55,4.48,4.12
h_0,1.43,1.96,1.69,1.59,1.43,1.27,2.67,3.59,3.54,3.39,2.83,3.38,3.59,3.72,3.37,5.0
e_0,1.07,1.91,1.61,1.64,1.62,1.53,3.56,3.12,3.16,3.85,2.83,3.73,3.09,4.43,5.44,4.13
g_0,1.35,1.57,1.7,2.2,1.51,1.38,2.74,2.66,2.97,3.24,4.63,3.37,3.34,3.87,3.94,3.64
