,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,6.07,1.43,1.73,1.24,1.51,1.5,5.96,3.28,5.51,12.87,8.83,8.53,11.03,8.97,8.5,12.05
e_1,1.24,6.12,1.64,1.98,1.49,1.7,5.69,13.28,5.56,6.19,7.01,8.26,12.09,7.99,4.07,9.73
f_1,1.56,2.69,6.28,1.5,1.12,1.51,5.1,6.64,5.4,6.96,3.21,6.68,8.89,7.4,4.84,7.98
c_1,1.47,1.51,1.56,6.55,2.73,1.14,5.21,7.34,4.62,2.93,7.13,5.01,11.33,6.67,6.78,11.96
b_1,1.54,1.37,1.35,1.6,7.85,2.98,5.81,6.07,4.86,6.38,6.94,3.53,9.15,5.06,8.39,12.23
a_1,1.61,1.52,1.29,1.46,1.71,10.33,6.21,8.45,6.7,7.85,9.26,8.17,11.84,3.3,10.16,10.21
h_1,1.93,1.69,2.76,1.92,1.66,1.5,16.93,8.12,9.36,7.53,7.58,8.25,8.32,9.95,9.08,15.04
d_0,1.22,1.74,1.89,3.72,2.07,1.87,6.71,14.82,5.86,5.85,8.52,8.17,11.77,6.9,8.03,11.93
g_1,3.06,1.65,1.54,1.66,1.77,1.63,5.07,8.7,20.82,7.8,14.22,9.58,14.45,10.91,10.96,7.09
c_0,2.05,1.78,2.25,1.25,1.35,1.62,7.94,9.69,7.07,16.92,9.36,19.98,14.39,11.08,11.62,15.55
f_0,2.11,1.55,1.36,2.19,2.07,1.82,6.62,9.39,8.31,8.25,18.57,9.73,14.42,9.95,20.08,12.64
b_0,2.22,1.8,2.36,2.18,0.82,1.17,6.96,9.55,6.7,7.48,10.03,18.74,16.51,20.76,10.93,11.66
h_0,2.17,1.76,2.88,1.8,1.66,1.62,4.16,8.43,8.39,7.45,8.55,9.23,9.58,8.21,9.45,15.88
a_0,2.36,1.78,2.28,1.83,1.56,0.97,8.35,8.85,6.47,9.69,12.2,8.87,14.77,23.6,11.62,13.57
e_0,2.56,0.86,2.06,2.04,1.82,1.89,8.38,9.58,6.96,8.93,9.27,9.37,15.65,12.25,24.94,14.32
g_0,3.24,1.49,1.84,1.67,1.64,1.74,6.61,7.06,5.37,8.21,15.42,10.2,13.89,9.79,9.44,10.31
