,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.19,0.25,0.15,0.22,0.15,0.19,0.4,0.99,0.34,0.51,0.59,0.48,0.48,0.71,0.53,0.14
f_1,0.42,2.21,0.21,0.22,0.19,0.13,0.48,0.42,0.33,0.54,0.34,0.08,0.33,0.56,0.45,0.22
d_1,0.23,0.27,2.35,0.17,0.18,0.18,0.46,0.11,0.34,0.87,0.44,0.49,0.43,0.53,0.51,0.43
c_1,0.24,0.25,0.25,2.42,0.36,0.13,0.36,0.46,0.4,0.07,0.39,0.37,0.34,0.47,0.32,0.35
b_1,0.23,0.21,0.25,0.2,2.74,0.32,0.49,0.36,0.38,0.31,0.09,0.5,0.35,0.58,0.45,0.51
a_1,0.21,0.22,0.23,0.23,0.17,3.09,0.46,0.5,0.37,0.5,0.41,0.47,0.08,0.77,0.87,0.35
h_1,0.37,0.55,0.44,0.37,0.33,0.24,2.71,0.57,0.8,0.79,0.77,0.78,0.68,0.34,1.16,0.74
d_0,0.34,0.45,0.12,0.8,0.41,0.31,0.67,2.16,0.63,0.62,0.78,0.72,0.58,0.94,0.82,0.74
g_1,0.35,0.35,0.63,0.38,0.26,0.26,0.63,0.66,3.19,0.72,0.7,1.37,0.57,0.7,0.44,0.74
c_0,0.53,0.47,0.43,0.14,0.36,0.31,0.65,0.99,0.52,2.26,1.44,0.85,0.55,0.99,1.18,0.62
b_0,0.41,0.53,0.48,0.42,,0.2,0.77,0.95,0.66,0.73,2.52,0.83,1.25,0.86,1.13,0.8
f_0,0.42,0.18,0.5,0.45,0.33,0.31,0.72,0.95,0.59,0.71,0.83,2.61,0.8,1.01,1.15,1.45
a_0,0.36,0.45,0.47,0.5,0.35,,0.87,1.06,0.52,0.8,0.88,0.78,2.86,1.07,1.04,0.83
h_0,0.39,0.63,0.42,0.36,0.22,0.37,0.37,0.95,0.81,0.59,0.7,0.7,0.63,0.4,1.42,0.5
g_0,0.4,0.35,0.66,0.43,0.29,0.24,0.79,0.81,,0.66,0.95,1.24,0.68,0.93,0.43,0.66
e_0,0.1,0.64,0.47,0.46,0.36,0.33,0.75,0.84,0.65,0.76,0.75,0.72,0.69,0.97,1.14,2.74
