,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.41,1.04,1.16,0.91,0.93,0.8,1.87,1.65,1.89,3.61,2.34,2.56,2.94,2.11,2.25,2.71
e_1,0.86,2.39,1.14,1.31,1.04,0.94,2.04,3.75,1.78,1.85,1.99,2.09,2.94,1.67,1.29,2.26
f_1,1.07,1.71,2.44,1.04,0.79,0.79,1.82,2.28,1.68,1.94,1.52,2.01,2.59,1.78,1.15,1.95
c_1,1.05,1.08,1.01,2.47,1.64,0.76,1.9,2.19,1.5,1.37,1.94,1.52,2.64,1.68,1.66,2.75
b_1,1.07,1.06,0.94,1.11,2.68,1.6,2.1,1.97,1.45,1.98,2.07,1.69,2.39,1.49,1.91,2.81
a_1,1.12,1.0,1.1,0.99,1.01,3.06,1.98,2.44,2.07,2.4,2.35,2.28,3.06,1.36,2.1,2.46
h_1,1.23,1.15,1.52,1.19,0.91,0.75,3.52,2.35,2.28,2.11,2.15,2.06,2.18,2.18,1.86,2.98
d_0,0.93,1.15,1.11,1.78,1.24,0.9,2.07,3.18,1.62,1.58,2.26,1.88,2.66,1.72,1.98,2.61
g_1,1.66,1.02,1.03,1.08,0.96,0.84,1.87,2.31,3.86,2.28,3.22,2.26,2.86,2.44,2.52,2.34
c_0,1.31,1.19,1.31,1.02,0.74,0.81,2.3,2.43,1.82,3.39,2.39,4.1,3.16,2.68,2.3,2.94
f_0,1.26,0.98,1.04,1.19,1.15,1.02,2.1,2.48,2.1,2.24,3.46,2.16,3.0,2.19,3.87,2.69
b_0,1.28,1.17,1.36,1.29,0.7,0.77,1.99,2.52,1.85,2.21,2.39,3.48,3.12,3.88,2.43,2.86
h_0,1.35,1.23,1.48,1.09,0.88,0.82,1.55,2.45,2.11,2.05,2.11,2.16,2.45,2.06,2.04,3.28
a_0,1.28,1.15,1.34,1.17,0.96,0.59,2.35,2.49,2.01,2.51,2.53,2.0,3.1,3.84,2.47,3.01
e_0,1.44,0.77,1.34,1.09,1.07,0.89,2.25,2.22,1.84,2.29,2.27,2.14,3.2,2.34,3.75,3.0
g_0,1.75,1.0,1.08,1.07,0.99,0.89,1.89,2.03,1.58,2.25,3.3,2.31,2.89,2.15,2.12,2.62
