,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,6.11,9.04,9.89,8.32,8.24,3.27,3.34,3.68,2.2,2.49,2.86,2.52,1.95,,1.91
f_1,10.0,1.07,10.99,9.82,9.17,8.79,2.87,3.42,3.18,3.21,2.93,,2.22,1.52,2.13,2.13
c_1,10.88,8.19,1.07,10.37,9.7,7.95,5.54,3.36,1.8,3.47,,3.39,2.55,2.04,2.45,2.25
d_1,10.77,10.35,9.37,1.07,13.41,9.66,3.15,2.65,,3.07,4.47,2.61,,2.08,3.34,1.22
b_1,10.98,10.38,7.76,9.4,1.07,11.95,3.55,5.36,2.88,,4.06,2.12,3.49,2.2,2.87,3.71
a_1,11.01,14.69,15.37,12.17,8.74,1.07,5.65,4.82,4.23,4.83,4.15,4.46,,2.97,,2.44
h_1,16.25,15.93,11.33,13.25,14.33,9.62,1.41,5.16,4.99,3.06,3.4,4.15,4.21,,3.54,3.62
g_1,16.14,17.33,15.82,15.79,15.63,14.58,4.7,1.41,4.6,6.83,4.7,5.02,,3.02,4.38,
d_0,9.07,13.21,15.61,,15.73,11.92,5.62,6.15,1.69,6.31,3.44,3.81,3.31,3.38,5.82,3.69
b_0,19.37,14.16,16.03,11.24,,14.57,6.96,4.55,3.45,1.71,3.11,4.57,5.89,3.51,3.22,2.92
c_0,17.06,13.13,,8.1,11.81,14.78,7.08,5.43,5.58,4.71,1.77,4.56,3.63,3.58,5.59,3.26
f_0,21.35,,12.87,19.37,22.02,14.43,6.45,3.95,6.18,4.48,5.75,1.69,4.72,4.9,3.85,2.8
a_0,20.44,32.65,21.71,,20.93,,7.21,,7.7,3.33,5.38,6.48,1.73,4.28,,3.48
h_0,23.55,17.21,17.09,20.9,15.36,14.55,,5.98,4.25,5.35,4.35,4.96,3.73,,3.04,3.51
e_0,,33.12,26.65,16.87,23.3,,6.02,7.49,5.92,6.27,4.78,4.68,,6.0,1.75,5.18
g_0,16.14,28.54,18.52,34.75,12.16,19.0,5.29,,6.07,5.82,6.64,5.08,5.0,3.6,5.18,
