,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,6.27,2.26,3.08,3.74,2.84,2.83,10.68,9.02,11.46,22.5,13.37,13.5,20.04,13.91,10.4,18.48
d_1,2.88,6.41,2.89,2.43,2.65,2.78,11.45,11.04,23.11,8.11,14.32,16.36,20.68,16.68,16.31,22.3
f_1,4.52,2.63,6.46,2.68,2.36,2.55,10.0,10.29,12.32,13.51,9.99,13.97,17.46,15.82,8.62,18.87
c_1,2.3,2.65,2.93,7.04,4.92,3.27,9.77,8.74,8.65,11.63,12.56,8.74,21.98,10.87,13.62,21.94
b_1,2.64,2.68,2.76,2.84,7.34,5.58,10.13,10.12,9.75,12.62,12.06,8.87,21.53,10.36,14.76,20.22
a_1,2.99,3.0,2.91,2.95,2.87,10.21,10.49,11.54,11.58,12.91,13.03,14.03,19.37,11.92,16.7,18.31
h_1,2.84,3.22,3.9,3.17,2.78,2.61,18.01,13.4,13.38,12.4,15.0,16.67,17.18,14.47,14.89,28.27
g_1,2.77,4.28,2.89,2.59,2.81,3.22,11.4,22.15,16.21,11.21,20.74,16.18,19.66,14.48,17.17,20.59
c_0,3.04,3.62,3.28,2.49,2.64,2.66,12.63,12.28,21.38,13.85,16.53,28.51,22.97,22.3,15.87,23.79
d_0,2.65,2.23,3.1,5.49,3.45,2.66,10.94,9.43,8.57,20.98,12.96,13.24,21.72,13.39,13.68,22.07
f_0,2.44,3.14,2.99,3.19,3.47,2.95,12.57,13.56,14.84,13.44,24.05,17.59,25.07,14.5,30.78,26.23
b_0,2.78,3.67,3.44,3.31,2.27,2.1,11.55,11.51,14.47,12.87,15.81,24.96,25.37,31.15,17.05,23.67
h_0,2.76,3.33,3.81,3.3,2.94,3.22,8.69,14.25,12.35,13.24,14.57,15.36,16.58,16.21,15.46,30.49
a_0,2.75,3.29,3.45,3.3,2.83,2.3,12.52,11.79,14.55,13.58,15.06,16.7,25.36,29.68,18.27,27.25
e_0,2.37,3.52,3.32,3.08,2.85,3.06,13.36,12.4,14.74,12.52,16.28,17.05,27.31,15.62,31.86,26.56
g_0,2.36,4.3,2.54,3.47,2.81,3.09,9.99,9.38,14.4,11.04,20.93,15.3,21.21,13.97,18.45,19.23
