,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12.64,0.5,0.62,0.91,0.68,0.52,0.9,0.96,2.36,0.83,1.28,0.87,1.03,0.81,1.07,1.07
d_1,0.63,14.42,0.71,0.42,0.58,0.69,0.94,1.05,0.46,2.22,1.07,1.34,1.02,1.07,1.21,1.0
f_1,1.59,0.58,13.82,0.67,0.51,0.48,0.89,0.71,0.87,0.89,0.37,0.95,0.67,0.54,1.01,0.92
c_1,0.6,0.62,0.59,14.21,1.63,0.68,0.81,0.88,0.81,0.39,0.92,0.61,1.01,0.78,0.69,0.72
b_1,0.45,0.71,0.69,0.61,15.09,1.83,0.96,0.87,0.8,0.9,0.91,0.59,0.98,1.05,0.54,0.88
a_1,0.6,0.74,0.84,0.72,0.57,20.81,1.07,0.91,0.88,1.02,0.86,1.17,1.13,1.03,0.65,1.02
h_1,0.7,0.92,1.1,0.76,0.74,0.68,4.09,1.42,0.87,0.91,1.07,0.93,0.74,1.24,1.07,1.86
g_1,0.61,1.62,0.55,0.75,0.7,0.7,0.96,3.76,0.89,1.06,1.95,1.12,1.04,1.32,0.97,0.79
d_0,0.68,0.47,0.61,2.36,0.81,0.8,1.08,0.97,2.21,0.62,1.15,0.74,1.12,1.19,0.85,1.14
c_0,0.78,0.98,0.94,0.57,0.47,0.67,1.19,1.15,0.89,2.62,1.24,3.21,1.42,1.19,1.71,0.97
f_0,0.54,0.99,0.48,0.93,0.7,0.86,1.03,1.2,1.36,0.9,2.97,1.08,1.4,3.13,1.07,1.43
b_0,0.65,0.9,0.96,0.71,0.42,0.53,1.2,1.03,1.06,1.2,1.22,3.0,1.44,1.16,3.25,1.28
h_0,0.56,0.95,1.35,0.78,0.68,0.81,0.65,1.59,1.07,0.99,1.07,1.31,0.64,1.29,1.09,1.5
e_0,0.39,1.1,0.86,0.88,0.82,0.92,1.04,1.31,1.13,0.97,1.02,1.12,1.55,3.53,1.25,1.44
a_0,0.65,0.86,0.89,0.91,0.89,0.35,1.26,1.07,1.21,0.91,1.34,1.43,1.42,1.41,3.79,1.34
g_0,0.62,1.53,0.66,0.83,0.65,0.62,1.25,0.86,0.93,1.1,2.01,0.97,1.47,1.63,1.14,0.78
