,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.1,0.83,0.96,0.93,1.22,1.04,0.8,,1.34,0.89,0.94,1.09,1.17,0.84,0.94
f_1,0.91,1.0,1.33,1.25,0.94,0.92,0.87,0.98,0.95,1.06,0.97,,0.87,0.94,1.12,0.8
e_1,1.2,0.75,1.0,0.97,0.92,1.04,0.97,1.02,1.33,1.2,1.1,1.11,0.89,0.83,0.81,
c_1,1.04,0.8,1.03,1.0,1.32,0.94,1.04,1.05,0.82,,0.77,1.18,1.13,0.83,1.07,1.32
b_1,1.08,1.07,1.08,0.76,1.0,,0.92,0.88,0.95,0.9,,1.0,0.9,,1.02,1.07
a_1,0.82,1.08,0.96,1.06,,1.0,1.31,,1.12,0.95,1.0,1.03,0.97,,1.04,
h_1,0.96,1.15,1.03,0.96,1.08,0.76,1.0,1.34,0.89,0.95,0.82,0.87,,1.02,1.31,0.81
g_1,1.24,1.02,0.98,0.95,1.13,,0.75,1.0,1.09,1.14,0.93,1.08,0.95,,,
d_0,,1.06,0.75,1.22,1.05,0.89,1.12,0.92,1.0,0.86,1.03,1.0,1.07,0.85,1.15,1.21
c_0,0.74,0.94,0.83,,1.11,1.05,1.05,0.88,1.17,1.0,1.37,0.98,0.96,1.07,0.93,1.27
b_0,1.12,1.03,0.91,1.3,,1.0,1.22,1.07,0.97,0.73,1.0,0.75,1.18,1.13,1.1,0.75
f_0,1.07,,0.9,0.85,1.0,0.97,1.15,0.92,1.0,1.02,1.34,1.0,0.98,1.03,0.67,1.41
h_0,0.91,1.15,1.12,0.89,1.11,1.03,,1.05,0.93,1.04,0.85,1.02,,0.89,1.11,0.79
a_0,0.85,1.06,1.2,1.2,,,0.98,,1.17,0.94,0.89,0.97,1.12,1.0,1.21,
g_0,1.19,0.89,1.23,0.94,0.98,0.97,0.76,,0.87,1.08,0.91,1.5,0.9,0.83,,
e_0,1.07,1.24,,0.76,0.94,,1.24,,0.82,0.78,1.34,0.71,1.26,,,1.0
