,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.72,1.15,0.5,0.59,0.55,0.49,0.89,0.78,0.7,0.7,0.94,0.38,0.97,0.85,0.7,0.91
e_1,0.69,2.79,0.83,0.46,0.59,0.53,0.86,1.66,0.87,0.9,0.95,1.0,0.9,0.85,0.4,1.02
c_1,0.55,0.52,3.02,0.55,1.19,0.68,0.87,0.83,0.78,0.24,0.66,0.92,0.9,1.03,1.04,0.97
d_1,0.7,0.49,0.49,3.23,0.53,0.49,0.97,0.47,0.99,2.02,1.36,0.95,1.11,1.11,1.16,1.02
b_1,0.6,0.53,0.66,0.53,3.43,1.26,0.97,0.87,0.76,0.79,0.3,1.12,0.88,0.76,1.07,0.79
a_1,0.63,0.64,0.66,0.74,0.51,5.09,0.8,0.98,1.14,0.85,0.75,1.08,1.08,0.43,0.78,0.83
h_1,1.07,0.74,0.67,0.91,0.54,0.59,3.11,0.85,1.41,1.07,1.07,0.91,0.63,1.05,1.11,1.55
d_0,0.8,0.74,1.37,0.4,0.73,0.7,1.07,2.15,1.01,0.9,1.3,0.92,1.0,1.11,1.08,1.09
g_1,0.61,0.55,0.75,1.35,0.67,0.62,0.9,0.98,3.79,1.18,1.17,2.07,1.01,0.94,1.38,0.73
c_0,0.89,0.63,0.51,0.93,0.57,0.67,1.11,1.36,1.23,2.66,2.56,1.15,1.5,1.35,1.27,1.21
b_0,0.83,0.83,0.81,0.89,0.28,0.36,1.13,1.28,1.37,1.54,3.1,1.24,1.47,2.43,1.17,1.27
f_0,0.45,0.68,0.86,1.01,0.68,0.69,1.05,1.11,1.17,1.08,1.18,3.09,1.33,1.15,2.57,1.4
h_0,1.11,0.74,0.69,0.98,0.68,0.66,0.62,0.93,1.45,1.08,1.1,1.08,0.7,1.12,1.26,1.66
a_0,0.8,0.85,0.88,0.9,0.59,0.25,1.28,0.93,1.14,1.04,1.06,1.2,1.14,3.38,1.44,1.22
e_0,0.8,0.3,0.86,1.05,0.86,0.52,1.26,1.16,1.09,1.12,1.45,1.05,1.38,1.4,3.63,1.36
g_0,0.8,0.55,0.82,1.16,0.71,0.92,0.88,0.79,0.71,1.06,1.02,1.72,1.37,1.28,1.26,0.73
