,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.8,0.97,1.18,1.01,0.96,1.13,1.06,1.49,1.0,1.05,1.19,1.0,1.03,1.24,1.19
f_1,1.26,1.0,0.9,1.01,0.88,1.01,0.79,1.03,0.95,0.86,1.01,0.88,0.83,0.94,0.88,0.88
d_1,1.02,1.11,1.0,0.94,0.87,0.95,1.06,0.82,1.09,1.34,1.0,1.02,1.05,0.98,0.82,0.98
c_1,0.86,1.0,1.05,1.0,1.54,0.87,1.02,1.01,0.74,0.87,0.74,0.93,0.99,0.91,0.98,1.01
b_1,0.99,1.12,1.13,0.65,1.0,1.43,1.01,1.06,0.84,1.15,1.08,1.0,1.07,1.01,1.0,0.97
a_1,1.03,1.0,1.05,1.15,0.71,1.0,1.23,1.04,1.06,1.08,1.23,1.1,1.13,1.01,1.08,1.03
h_1,0.89,1.22,0.95,1.0,1.0,0.82,1.0,1.12,0.98,0.91,0.96,0.91,1.05,1.04,1.19,0.92
g_1,0.95,0.94,1.25,0.95,1.0,1.03,0.91,1.0,0.93,0.8,0.95,1.16,0.9,0.97,1.03,1.05
d_0,0.7,1.05,0.89,1.41,1.17,0.91,0.99,1.06,1.0,0.86,0.96,0.92,1.19,1.0,1.18,0.91
c_0,1.01,1.18,0.75,1.15,0.83,0.91,1.06,1.21,1.14,1.0,1.52,0.91,1.18,1.02,1.15,1.08
b_0,0.96,0.96,0.97,1.47,0.92,0.76,1.05,1.05,0.96,0.68,1.0,0.93,0.95,1.38,0.92,0.95
f_0,0.87,1.06,0.99,1.03,0.94,0.93,1.13,0.87,1.06,1.06,1.06,1.0,1.11,1.07,0.94,1.43
h_0,1.03,1.18,0.98,1.02,0.94,0.84,0.93,1.17,0.84,0.84,1.04,0.87,1.0,0.9,1.25,0.91
a_0,0.91,1.03,1.05,1.14,0.97,0.91,0.99,1.01,1.03,0.98,0.75,1.0,1.14,1.0,1.01,0.86
g_0,0.89,1.15,1.2,1.01,0.95,0.9,0.82,0.97,0.86,0.86,1.03,1.12,0.81,1.0,1.0,0.96
e_0,0.84,1.22,1.04,1.02,1.09,0.95,1.11,0.93,1.01,0.93,1.1,0.7,1.12,1.17,0.93,1.0
