,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.48,0.81,0.76,0.76,0.77,0.25,0.23,0.16,0.16,0.16,0.19,0.17,0.14,0.32,0.16
f_1,0.76,0.17,0.66,0.85,0.76,0.7,0.15,0.24,0.15,0.18,0.15,0.37,0.15,0.08,0.11,0.12
d_1,0.83,0.75,0.17,0.78,0.7,0.86,0.21,0.15,0.15,0.43,0.16,0.15,0.13,0.1,0.19,0.08
c_1,0.59,0.75,1.1,0.14,0.91,0.69,0.22,0.2,0.3,0.08,0.15,0.13,0.16,0.12,0.16,0.11
b_1,0.8,0.79,0.74,0.42,0.13,0.85,0.3,0.28,0.18,0.19,0.37,0.16,0.2,0.12,0.18,0.11
a_1,0.86,0.85,0.78,0.84,0.38,0.09,0.25,0.27,0.23,0.22,0.22,0.16,0.46,0.16,0.14,0.16
h_1,0.65,0.65,0.58,0.64,0.6,0.56,0.07,0.2,0.13,0.16,0.11,0.11,0.12,0.15,0.11,0.08
g_1,0.6,0.72,0.57,0.76,0.67,0.57,0.13,0.06,0.12,0.13,0.12,0.13,0.12,0.07,0.15,0.12
c_0,0.7,0.78,0.32,1.88,0.68,0.48,0.17,0.16,0.06,0.2,0.15,0.12,0.11,0.09,0.13,0.08
d_0,0.32,0.67,1.33,0.64,0.73,0.65,0.2,0.17,0.15,0.06,0.17,0.13,0.15,0.09,0.15,0.12
b_0,0.52,0.64,0.55,0.7,1.61,0.59,0.19,0.18,0.07,0.12,0.06,0.09,0.12,0.09,0.12,0.07
f_0,0.5,1.29,0.61,0.65,0.64,0.55,0.15,0.12,0.1,0.12,0.13,0.05,0.12,0.11,0.19,0.05
a_0,0.56,0.64,0.54,0.67,0.97,1.04,0.18,0.21,0.12,0.14,0.05,0.1,0.05,0.07,0.12,0.06
h_0,0.59,0.69,0.54,0.72,0.56,0.48,0.35,0.16,0.12,0.11,0.1,0.1,0.1,0.16,0.1,0.08
e_0,0.96,0.93,0.51,0.63,0.59,0.69,0.18,0.13,0.11,0.16,0.11,0.05,0.11,0.07,0.04,0.09
g_0,0.73,0.66,0.55,0.57,0.63,0.58,0.15,0.25,0.12,0.12,0.11,0.1,0.14,0.07,0.1,0.14
