,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,13914.03,3475.1,3197.43,4167.93,11738.66,26555.17,3541106.72,6295930.96,11452093.33,5808333.82,31349612.63,22539704.53,160386033.49,120638962.98,118626341.37,230067529.06
f_1,3563.33,14199.54,4388.68,7405.62,4879.18,24879.5,3432629.36,6344766.82,10744635.71,16104296.11,11983587.72,33917289.99,136221097.9,62199895.33,144968242.1,196301423.31
d_1,2681.08,3964.58,16306.88,3573.25,5633.55,31375.89,3987471.32,7068790.47,6336147.64,34422921.85,34067640.58,45890096.91,155181779.66,140895037.44,153069543.76,265821102.88
e_1,4103.68,3594.54,3192.2,18258.57,6307.29,33215.4,2989170.66,6618661.66,23357265.68,15574945.91,30484674.94,33102797.88,162975970.26,62239768.73,136614929.57,281140967.52
b_1,3289.79,3561.62,3618.2,4242.45,27806.06,76788.07,3733608.21,5472193.68,11446981.86,14374839.91,28697549.76,13129368.7,148966370.59,111841280.14,113459582.33,216541056.84
a_1,4349.63,3859.98,3450.95,3559.75,5498.67,247286.55,3389122.39,7692936.21,12483881.05,17199976.56,31789537.59,30478679.16,155127475.01,160162199.58,76156652.64,268384243.3
h_1,4187.28,5970.32,5135.96,4592.05,5930.59,46828.03,10075439.55,11194339.87,12767283.41,21880415.28,30765396.74,40772688.11,119142932.69,133214132.13,173096199.83,369676902.2
g_1,3776.04,3698.78,7846.24,4431.05,6650.68,32688.82,4421743.46,23215769.05,13130233.93,20681773.44,57544457.95,38712438.61,171573878.18,181494610.34,158508169.96,221407848.02
d_0,8257.27,4176.87,2617.22,5262.58,7162.77,39656.17,3595156.28,7678325.82,26917383.96,13368913.14,38286581.25,36571712.17,175667148.88,144080739.47,164750156.03,297060302.14
c_0,3283.78,4623.34,5666.64,4861.23,5025.58,40400.65,4694851.15,9085301.95,14497278.98,41372362.64,40207997.51,90688676.79,213657449.25,173653288.46,186998200.5,372408774.08
f_0,4844.83,2545.72,5984.71,4325.89,7714.56,48659.29,4491825.3,7633387.49,12561275.93,21934540.1,77036843.41,47587772.36,187429285.45,309349059.29,193341686.08,324210618.03
b_0,4213.71,5661.99,5464.39,5045.78,4304.12,29969.94,4493146.43,8735532.04,16205177.6,21375937.19,30228422.47,84041280.67,232677781.57,169019322.76,375296300.13,358753785.69
h_0,4053.69,5839.34,5141.39,5250.25,6565.07,37988.05,3076671.16,12113510.37,15347378.02,19874321.77,35935674.79,37688195.52,120698673.16,152664878.32,189614522.9,432022678.6
e_0,4533.54,5508.92,5812.16,2318.04,7804.55,39395.01,5348983.84,9770568.04,11735892.51,15948529.82,33964519.63,42253032.01,223028390.0,423094234.95,174788696.0,322409447.93
a_0,4529.73,4708.32,6019.44,4540.57,6652.09,29013.02,4771397.63,8933207.48,13541011.17,18902208.21,29557438.62,34720969.78,198699594.35,154209837.74,452052014.73,335471490.78
g_0,4848.76,3527.35,7273.26,4345.57,7416.45,34817.38,3577888.48,5497162.86,13134600.0,23253529.22,52928858.77,42575713.67,198329074.68,151648427.28,180203619.58,223498925.65
