,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.06,1.35,2.16,2.19,2.05,1.77,0.9,0.81,0.74,0.54,0.6,0.67,0.49,0.49,0.51,0.88
f_1,2.26,1.06,1.87,2.12,1.88,1.65,0.65,0.77,0.62,0.67,0.59,0.76,0.33,0.46,0.49,0.48
d_1,2.35,2.51,1.06,1.92,2.11,2.0,0.8,0.58,1.15,0.68,0.63,0.56,0.54,0.32,0.54,0.53
c_1,1.91,2.3,2.92,1.06,2.46,1.71,0.86,0.75,0.43,0.79,0.51,0.58,0.53,0.51,0.52,0.48
b_1,2.41,2.95,2.33,1.56,1.06,2.29,0.92,1.03,0.75,1.02,0.93,0.7,0.62,0.55,0.65,0.64
a_1,3.57,3.75,3.26,3.34,1.98,1.07,1.49,1.47,1.11,0.85,1.0,0.86,0.78,0.77,1.07,0.77
h_1,5.04,5.92,5.02,5.5,5.45,3.98,1.31,1.99,1.63,1.42,1.41,1.68,1.44,1.25,1.27,1.15
g_1,6.28,6.5,6.42,6.48,6.52,4.79,2.03,1.33,1.84,1.89,1.81,1.99,1.21,1.8,1.87,1.61
d_0,4.28,6.18,8.27,7.89,6.15,5.77,2.77,2.84,1.5,1.73,1.88,2.07,1.59,1.53,1.56,1.74
c_0,8.09,7.09,4.34,9.31,5.77,7.08,3.01,2.36,2.73,1.49,3.01,1.85,1.71,1.78,1.64,1.59
b_0,7.9,7.71,6.74,10.45,9.61,6.53,2.98,2.83,2.33,1.37,1.52,2.1,1.91,1.81,2.18,1.82
f_0,6.99,11.54,7.11,9.14,7.57,6.95,2.5,1.95,2.34,2.15,2.48,1.51,2.27,1.41,2.18,2.14
h_0,8.95,11.51,8.17,8.67,7.57,6.96,4.37,3.72,2.61,2.79,2.35,2.18,2.38,2.11,2.0,2.08
g_0,10.95,11.45,12.34,10.02,9.52,8.47,3.08,4.34,3.15,2.57,2.55,2.73,1.99,2.71,2.57,2.14
a_0,11.47,11.98,10.02,10.31,11.88,11.92,3.83,3.26,3.31,2.82,1.73,2.47,2.53,2.65,1.61,2.45
e_0,11.16,14.6,10.54,11.83,10.01,8.34,4.15,3.62,3.53,3.22,3.13,1.81,2.5,2.68,3.15,1.64
