,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.01,0.05,0.1,0.1,0.11,0.14,0.19,0.3,0.3,0.22,0.27,0.27,0.28,0.39,,0.33
f_1,0.1,0.01,0.07,0.09,0.12,0.18,0.13,0.21,0.26,0.21,0.22,,0.17,0.31,0.38,0.33
d_1,0.07,0.06,0.01,0.09,0.06,0.1,0.17,,0.12,0.15,0.14,0.21,0.19,0.18,0.3,0.15
c_1,0.05,0.06,0.07,0.01,0.06,0.08,0.14,0.07,0.18,,0.2,0.16,0.14,0.28,0.22,0.18
b_1,0.05,0.04,0.06,0.03,0.01,0.11,0.07,0.08,0.13,0.18,,0.11,0.12,0.2,,0.13
a_1,0.02,0.01,0.02,0.02,0.01,,0.04,0.03,0.05,0.03,0.06,0.04,0.07,,,0.06
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
