,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.98,0.82,0.5,1.07,0.66,0.64,1.01,0.94,2.49,0.75,1.0,1.0,1.04,1.01,0.75,1.03
f_1,2.02,10.96,0.62,0.63,0.53,0.57,0.81,0.79,1.16,1.0,1.0,0.65,1.01,1.0,0.58,0.98
d_1,0.58,0.79,13.36,0.54,0.65,0.66,1.04,1.08,0.52,2.57,1.31,0.88,1.18,0.95,1.14,0.98
c_1,0.46,0.66,0.8,11.38,1.99,0.76,0.91,0.82,0.78,0.56,0.57,0.89,0.73,0.92,0.86,0.88
b_1,0.65,0.65,0.76,0.64,11.93,1.93,0.83,0.8,0.79,0.8,0.65,0.98,0.88,0.73,0.95,0.85
a_1,0.65,0.7,0.86,0.79,0.68,17.12,1.13,0.98,0.89,0.84,0.95,1.19,1.07,0.7,1.15,0.97
h_1,0.71,1.23,0.91,0.69,0.78,0.8,3.23,1.63,0.85,1.1,1.2,0.95,0.77,0.96,1.13,1.23
g_1,0.62,0.7,1.53,0.72,0.66,0.69,0.74,3.73,0.66,0.99,1.06,2.3,1.12,1.07,1.71,1.11
d_0,0.78,0.7,0.53,2.76,0.8,0.65,1.11,0.95,1.73,0.52,1.18,1.15,0.96,1.16,1.05,1.09
c_0,0.92,0.75,0.91,0.58,0.53,0.65,1.13,1.16,1.02,2.11,3.04,1.24,1.33,1.51,1.32,1.32
b_0,0.78,0.97,1.03,0.87,0.46,0.43,1.13,1.16,0.95,1.18,2.5,1.38,1.33,2.74,1.3,1.43
f_0,0.64,0.6,1.07,0.89,0.75,0.72,1.12,1.28,0.98,0.94,1.0,2.31,1.43,1.18,3.2,1.29
h_0,0.83,1.31,0.78,0.7,0.67,0.66,0.78,1.46,0.8,0.95,1.11,1.16,0.79,1.21,1.05,1.52
a_0,0.96,0.83,0.88,0.89,0.77,0.56,1.09,1.25,1.04,0.96,1.22,1.01,1.04,2.8,1.18,1.02
e_0,0.53,0.87,0.96,0.99,0.69,0.85,1.45,1.24,0.9,1.12,1.51,1.11,1.09,1.31,3.24,1.17
g_0,0.69,0.65,1.64,0.74,0.7,0.84,1.1,0.86,0.85,1.15,1.23,1.82,1.34,0.99,1.48,0.6
