,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.34,0.17,0.18,0.13,0.08,0.15,0.1,0.15,0.15,0.15,0.06,0.18,0.11,0.06,0.13
e_1,0.22,0.89,0.22,0.14,0.15,0.09,0.17,0.13,0.32,0.17,0.17,0.13,0.15,0.11,0.04,0.15
c_1,0.19,0.15,0.89,0.21,0.27,0.1,0.15,0.13,0.17,0.04,0.13,0.13,0.18,0.1,0.11,0.13
d_1,0.22,0.17,0.15,0.89,0.17,0.1,0.18,0.14,0.06,0.31,0.19,0.14,0.18,0.11,0.1,0.11
b_1,0.19,0.17,0.19,0.17,0.88,0.2,0.17,0.14,0.17,0.16,0.04,0.14,0.14,0.1,0.11,0.14
a_1,0.19,0.24,0.16,0.23,0.13,0.87,0.18,0.13,0.14,0.16,0.15,0.14,0.14,0.03,0.1,0.1
h_1,0.31,0.21,0.22,0.25,0.18,0.1,0.56,0.21,0.18,0.19,0.17,0.14,0.11,0.12,0.13,0.24
g_1,0.2,0.14,0.23,0.34,0.18,0.13,0.21,0.55,0.18,0.19,0.19,0.3,0.18,0.15,0.17,0.11
d_0,0.22,0.22,0.42,0.11,0.17,0.13,0.21,0.14,0.4,0.14,0.19,0.18,0.21,0.11,0.12,0.18
c_0,0.3,0.24,0.13,0.26,0.14,0.15,0.24,0.14,0.21,0.39,0.36,0.17,0.21,0.16,0.14,0.16
b_0,0.29,0.26,0.24,0.23,0.09,0.11,0.19,0.17,0.19,0.21,0.42,0.15,0.26,0.28,0.14,0.2
f_0,0.13,0.17,0.29,0.21,0.19,0.16,0.25,0.17,0.23,0.24,0.15,0.43,0.24,0.1,0.32,0.2
h_0,0.36,0.23,0.24,0.23,0.18,0.12,0.09,0.22,0.18,0.16,0.18,0.16,0.14,0.15,0.11,0.25
a_0,0.28,0.28,0.25,0.24,0.22,0.08,0.21,0.11,0.16,0.18,0.19,0.15,0.21,0.39,0.07,0.18
e_0,0.28,0.11,0.22,0.18,0.19,0.15,0.23,0.2,0.25,0.18,0.17,0.2,0.28,0.15,0.4,0.18
g_0,0.23,0.22,0.25,0.34,0.15,0.12,0.19,0.13,0.18,0.19,0.15,0.23,0.24,0.13,0.14,0.1
