,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.32,1.03,0.96,0.99,1.02,0.92,0.98,0.9,0.86,1.17,,0.98,0.79,0.77,1.13
e_1,0.76,1.0,1.01,1.1,0.94,1.07,1.07,1.09,0.99,1.34,1.0,0.98,0.93,,1.03,0.93
d_1,0.97,0.99,1.0,1.09,1.12,0.98,0.94,0.71,1.65,,0.98,0.92,0.85,1.27,0.73,0.75
c_1,1.04,0.91,0.92,1.0,1.44,1.12,1.02,1.11,,0.72,1.13,0.88,0.98,1.16,0.91,0.96
b_1,1.01,1.06,0.9,0.69,1.0,1.39,1.0,1.13,0.83,1.19,,1.16,1.02,1.11,0.97,1.0
a_1,0.98,0.94,1.02,0.89,0.72,1.0,1.11,0.83,1.27,1.26,,1.0,1.06,,,0.97
h_1,1.09,0.93,1.06,0.98,1.0,0.9,1.0,1.0,0.89,1.03,0.75,1.35,,0.72,1.26,1.15
g_1,1.02,0.92,1.41,0.9,0.88,1.21,1.0,1.0,0.81,0.81,1.05,1.6,0.75,0.97,0.84,
c_0,1.11,1.01,0.61,,1.2,0.79,1.12,1.24,1.0,1.13,1.53,0.91,0.97,0.87,0.95,1.07
d_0,1.17,0.75,,1.39,0.84,0.79,0.97,1.24,0.89,1.0,0.8,0.88,1.03,1.5,1.17,1.31
b_0,0.86,1.0,1.02,0.88,,,1.34,0.95,0.65,1.25,1.0,0.95,1.17,1.13,1.5,0.89
f_0,,1.02,1.09,1.14,0.86,1.0,0.74,0.62,1.1,1.14,1.05,1.0,1.16,,0.97,0.82
h_0,1.02,1.08,1.17,1.02,0.98,0.95,,1.34,1.03,0.97,0.85,0.86,,,0.91,1.16
e_0,1.27,,0.78,0.86,0.9,,1.39,1.03,1.15,0.67,0.88,,,1.0,1.16,1.19
a_0,1.29,0.97,1.37,1.1,1.03,,0.79,1.2,1.05,0.86,0.67,1.03,1.1,0.86,1.0,1.0
g_0,0.88,1.07,1.34,1.04,1.0,1.03,0.87,,0.93,0.76,1.12,1.22,0.86,0.84,1.0,
