,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10.74,1.74,0.63,0.7,0.55,0.59,0.9,0.84,0.71,0.98,0.84,0.55,0.9,0.88,0.78,0.67
e_1,0.83,10.07,0.47,1.06,0.66,0.65,0.98,0.92,0.85,2.55,1.04,0.91,1.0,1.06,0.87,0.66
d_1,0.75,0.62,12.45,0.53,0.6,0.65,0.98,1.0,2.84,0.56,1.4,1.15,1.04,1.06,1.07,1.02
c_1,0.61,0.56,0.76,12.05,1.88,0.68,0.9,0.94,0.5,0.81,0.63,1.02,0.92,1.0,0.83,0.95
b_1,0.63,0.57,0.91,0.63,13.86,2.0,0.9,0.86,0.84,0.82,0.62,0.85,0.89,0.72,1.12,0.99
a_1,0.67,0.66,0.96,0.62,0.73,19.33,0.91,0.9,0.99,0.71,1.09,0.99,1.16,0.63,1.31,1.22
h_1,1.08,0.72,0.95,0.77,0.79,0.7,2.95,1.45,0.9,0.83,1.05,1.17,0.87,0.91,1.61,1.1
g_1,0.7,0.62,1.52,0.8,0.79,0.76,0.89,3.94,0.9,0.66,0.96,1.63,0.99,0.94,0.73,1.31
c_0,0.97,0.78,0.85,0.63,0.58,0.73,1.28,1.14,2.28,0.87,3.3,1.47,1.36,1.55,1.37,1.41
d_0,0.74,0.64,0.53,2.47,0.98,0.75,0.89,0.95,0.66,1.96,0.88,1.22,1.06,0.78,0.89,1.07
b_0,1.06,0.85,0.67,0.8,0.52,0.53,1.31,1.18,1.07,1.14,2.39,1.3,1.58,2.96,1.33,1.5
f_0,0.6,0.52,1.0,0.97,0.87,1.03,1.28,1.12,1.2,1.06,1.21,2.81,1.06,1.15,1.03,3.52
h_0,1.34,0.73,0.86,0.79,0.56,0.76,0.79,1.43,1.04,0.86,1.06,0.98,0.68,1.07,1.55,0.99
a_0,0.92,0.67,0.91,0.86,0.86,0.6,1.31,1.1,1.06,1.11,0.84,1.31,1.23,2.7,1.16,1.35
g_0,0.65,0.61,1.87,0.77,0.63,0.69,0.98,0.88,1.33,0.85,1.19,2.13,1.25,1.11,0.93,1.17
e_0,0.87,0.53,0.96,0.86,0.73,0.95,1.0,0.89,0.91,1.04,1.32,1.36,1.27,1.13,1.23,3.36
