,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.77,1.03,1.08,0.65,1.14,1.25,1.06,1.15,0.93,1.0,0.99,1.0,,1.07
d_1,1.25,1.0,1.09,0.91,0.97,0.89,0.97,,0.75,1.16,0.93,1.19,0.84,1.05,1.19,0.94
f_1,1.29,0.91,1.0,1.06,0.97,0.98,0.76,1.05,0.96,0.85,1.17,,0.96,1.24,0.95,1.04
c_1,0.97,1.1,0.94,1.0,1.5,0.92,1.06,0.77,0.95,,0.84,0.94,0.96,0.81,1.22,1.29
b_1,0.92,1.03,1.03,0.67,1.0,1.52,1.04,1.0,1.18,1.03,,1.02,1.1,0.96,1.11,0.89
a_1,1.54,1.12,1.02,1.09,0.66,1.0,0.9,0.75,1.03,1.05,,0.84,0.98,,,0.93
h_1,0.88,1.03,1.32,0.95,0.96,1.11,1.0,0.87,1.3,0.98,0.97,1.02,,0.97,0.91,0.83
d_0,0.8,,0.95,1.3,1.0,1.34,1.15,1.0,0.94,0.97,1.14,0.89,1.06,0.92,0.7,1.02
g_1,0.95,1.33,1.04,1.05,0.85,0.97,0.77,1.06,1.0,0.86,1.03,1.27,0.77,1.03,1.1,
c_0,0.87,0.86,1.18,,0.97,0.95,1.02,1.03,1.17,1.0,1.17,0.97,1.49,0.76,0.82,0.87
b_0,1.07,1.07,0.85,1.2,,,1.03,0.88,0.97,0.86,1.0,1.0,1.14,1.66,0.76,0.94
f_0,1.0,0.84,,1.06,0.98,1.19,0.98,1.12,0.79,1.03,1.0,1.0,1.0,1.06,1.47,0.88
h_0,1.01,1.19,1.04,1.04,0.91,1.02,,0.94,1.3,0.67,0.88,1.0,,0.86,1.03,1.2
a_0,1.0,0.95,0.81,1.24,1.04,,1.03,1.09,0.97,1.32,0.6,0.95,1.17,1.0,,
e_0,,0.84,1.05,0.82,0.9,,1.1,1.44,0.91,1.22,1.31,0.68,0.97,,1.0,1.0
g_0,0.94,1.07,0.96,0.78,1.12,1.07,1.2,0.98,,1.15,1.07,1.13,0.83,,1.0,
