,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,22.91,0.64,0.33,0.32,0.28,0.37,0.73,0.66,0.64,0.75,0.19,0.93,0.77,0.75,0.61,0.73
e_1,0.34,24.06,0.3,0.35,0.4,0.25,0.57,0.77,1.7,0.9,0.83,0.85,0.93,0.8,0.26,0.86
d_1,0.37,0.3,25.25,0.32,0.29,0.32,0.74,0.77,0.21,1.68,1.03,0.81,0.98,0.81,0.97,0.88
c_1,0.32,0.33,0.32,29.38,0.74,0.28,0.65,0.74,0.71,0.07,1.03,0.57,0.74,0.83,0.82,0.79
b_1,0.34,0.36,0.34,0.33,32.5,0.75,0.84,0.67,1.07,0.55,0.63,0.15,0.92,0.46,0.75,0.65
a_1,0.43,0.27,0.37,0.32,0.35,50.83,0.91,0.63,0.49,0.78,0.72,0.79,1.16,0.2,0.9,0.89
h_1,0.98,0.49,0.66,0.66,0.55,0.76,9.67,1.68,1.54,1.06,1.33,1.3,0.53,1.36,1.6,2.0
g_1,0.65,0.54,0.89,0.56,0.53,0.79,1.26,10.88,1.06,1.26,2.01,1.36,1.38,1.66,1.59,0.47
d_0,0.53,0.66,0.14,1.63,0.65,0.75,1.46,1.35,5.39,1.13,1.68,1.42,1.26,1.73,1.17,1.59
c_0,0.79,0.64,0.87,0.23,0.58,0.39,1.59,1.26,1.13,5.98,1.53,4.1,1.56,2.41,1.76,2.08
f_0,0.22,0.57,1.0,0.86,0.67,0.53,1.76,1.33,1.5,2.03,6.99,1.31,1.98,1.13,3.53,2.65
b_0,0.67,0.51,0.87,0.86,0.16,0.52,1.29,1.28,1.6,1.47,1.77,7.41,2.0,3.93,1.73,2.33
h_0,1.05,0.57,0.66,0.66,0.49,0.64,0.51,2.0,1.52,1.36,1.14,1.75,0.64,1.34,1.3,2.37
a_0,0.72,0.56,0.92,0.76,0.76,,1.06,0.99,1.26,1.25,1.61,1.32,1.71,9.04,2.05,2.45
e_0,0.77,0.2,0.61,0.79,0.71,0.89,1.71,1.29,2.1,1.74,1.74,1.76,2.13,1.5,8.78,1.2
g_0,0.42,0.61,1.21,0.66,0.61,0.6,1.41,0.69,0.91,1.58,2.12,1.91,1.16,1.29,1.75,
