,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.94,1.14,0.9,0.67,0.6,0.53,0.41,0.58,0.45,0.41,0.37,0.36,0.34,0.36
f_1,1.2,1.0,0.88,1.12,0.77,0.81,0.44,0.45,0.41,0.4,0.36,0.38,0.36,0.27,0.29,0.32
d_1,1.06,1.14,1.0,0.84,0.97,0.71,0.54,0.38,0.57,0.43,0.44,0.38,0.33,0.33,0.31,0.27
c_1,0.87,0.9,1.18,1.0,1.47,0.69,0.49,0.37,0.33,0.31,0.34,0.42,0.27,0.34,0.34,0.31
b_1,1.1,1.31,1.03,0.69,1.0,1.18,0.56,0.48,0.5,0.45,0.55,0.4,0.36,0.39,0.35,0.35
a_1,1.46,1.24,1.42,1.42,0.85,1.0,0.75,0.73,0.57,0.58,0.66,0.55,0.49,0.52,0.38,0.45
h_1,1.67,2.27,1.84,2.03,1.81,1.34,1.0,0.94,0.75,0.74,0.83,0.68,0.64,0.66,0.58,0.77
g_1,1.89,2.17,2.65,2.52,2.07,1.47,1.08,1.0,0.91,0.9,0.92,1.15,0.78,0.62,0.8,0.71
c_0,2.44,2.48,1.74,2.89,1.96,1.8,1.26,1.19,1.0,1.11,1.25,0.92,1.01,0.82,0.7,0.77
d_0,1.74,2.36,2.35,3.28,2.23,1.68,1.4,1.16,0.88,1.0,0.99,0.97,0.69,0.73,0.7,0.74
b_0,2.27,2.68,2.28,3.27,1.83,1.41,1.17,1.13,0.8,1.07,1.0,0.99,1.32,1.0,0.74,0.78
f_0,2.36,2.78,2.53,2.45,2.63,1.88,1.48,0.85,1.06,0.96,1.0,1.0,0.76,0.97,1.13,0.63
a_0,2.81,2.77,2.89,3.48,2.72,2.05,1.51,1.36,1.07,1.43,0.82,1.31,1.0,1.03,0.87,1.18
h_0,2.97,3.52,3.07,2.84,2.75,1.83,1.45,1.62,1.2,1.39,1.09,0.98,0.99,1.0,0.91,1.04
e_0,3.14,3.54,3.29,2.96,2.9,2.47,1.76,1.33,1.49,1.34,1.37,0.9,1.13,1.09,1.0,0.87
g_0,3.0,3.2,3.84,3.05,2.86,2.14,1.3,1.35,1.29,1.33,1.23,1.51,0.87,0.96,1.16,1.0
