,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.51,0.42,0.8,0.47,0.36,0.39,0.5,0.44,0.55,0.46,0.21,0.5,0.49,0.55,0.47,0.29
d_1,0.58,1.52,0.48,0.38,0.43,0.27,0.54,0.51,0.32,0.86,0.58,0.59,0.69,0.5,0.46,0.41
e_1,0.41,0.41,1.52,0.48,0.49,0.43,0.61,0.46,0.85,0.58,0.58,0.59,0.69,0.61,0.38,0.23
c_1,0.5,0.53,0.43,1.54,0.75,0.26,0.51,0.42,0.5,0.2,0.5,0.43,0.62,0.55,0.46,0.53
b_1,0.56,0.49,0.43,0.43,1.58,0.62,0.6,0.49,0.54,0.58,0.53,0.26,0.56,0.61,0.37,0.52
a_1,0.51,0.64,0.45,0.58,0.38,1.76,0.63,0.55,0.62,0.6,0.67,0.57,0.61,0.56,,0.43
h_1,0.92,0.68,0.61,0.87,0.59,0.49,1.67,1.02,0.82,0.8,0.79,0.94,0.56,1.16,0.68,0.87
g_1,0.71,0.99,0.74,0.92,0.59,0.64,0.65,1.76,0.79,0.94,1.1,0.87,0.8,0.4,0.64,0.76
d_0,0.77,0.53,0.65,1.21,0.76,0.66,0.97,0.92,1.51,0.79,0.67,0.81,0.81,0.8,0.82,0.71
c_0,0.86,0.71,0.8,0.58,0.65,0.75,1.01,0.97,1.0,1.53,1.13,1.49,1.08,0.94,0.95,0.86
f_0,0.47,0.89,0.73,0.85,0.81,0.63,0.99,0.93,0.97,0.91,1.58,0.95,0.94,0.84,0.81,1.42
b_0,0.86,0.91,0.65,1.06,0.44,0.6,0.83,0.71,1.04,0.69,0.96,1.53,1.06,0.87,1.35,0.83
h_0,1.14,0.84,0.69,0.71,0.83,0.62,0.55,1.13,0.84,0.86,1.08,0.8,0.58,1.15,0.78,0.69
g_0,0.72,1.18,0.74,0.84,0.65,0.66,0.85,0.7,0.95,1.02,1.25,1.09,0.81,0.57,0.75,0.85
a_0,0.78,0.98,0.91,0.9,0.77,,1.11,0.82,0.94,0.6,1.03,0.72,1.12,1.16,1.68,0.63
e_0,0.92,1.05,0.49,0.77,0.72,0.76,0.97,1.11,0.97,0.96,0.8,1.1,1.26,1.08,1.17,1.72
