,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.41,0.45,0.55,0.39,0.39,0.6,0.49,0.84,0.62,0.58,0.46,0.55,0.61,0.24,0.42
f_1,0.76,1.51,0.4,0.49,0.4,0.37,0.44,0.46,0.55,0.48,0.54,0.22,0.44,0.5,0.33,0.5
d_1,0.44,0.53,1.54,0.38,0.41,0.34,0.59,0.45,0.35,0.89,0.61,0.5,0.47,0.57,0.54,0.58
c_1,0.44,0.42,0.54,1.55,0.79,0.32,0.58,0.53,0.49,0.23,0.39,0.43,0.51,0.46,0.46,0.5
b_1,0.54,0.56,0.49,0.36,1.6,0.61,0.55,0.64,0.55,0.37,0.25,0.54,0.39,0.72,0.43,0.62
a_1,0.48,0.51,0.49,0.51,0.44,1.76,0.62,0.64,0.55,0.65,0.66,0.54,0.44,0.77,0.48,0.62
h_1,0.63,1.12,0.76,0.66,0.62,0.49,1.69,0.94,0.84,0.82,0.8,0.85,0.69,0.53,0.79,1.01
g_1,0.78,0.6,1.08,0.8,0.57,0.47,0.87,1.74,0.87,0.76,0.8,1.27,0.81,0.98,0.71,0.51
d_0,0.71,0.8,0.51,1.24,0.72,0.63,0.83,0.79,1.48,0.85,0.87,0.82,0.85,1.07,0.75,0.84
c_0,0.76,0.89,0.7,0.55,0.75,0.64,0.85,0.86,1.01,1.52,1.52,1.03,0.86,1.16,0.86,0.86
b_0,0.85,0.85,0.73,0.84,0.5,0.49,0.91,0.87,1.01,0.81,1.59,1.03,1.55,1.11,0.84,0.76
f_0,0.72,0.43,0.86,0.89,0.63,0.88,0.8,0.65,1.24,1.06,0.82,1.63,0.89,1.2,1.45,0.8
a_0,0.81,0.97,0.79,0.69,0.94,,0.93,0.77,0.88,1.1,0.88,1.06,1.57,1.14,0.98,0.99
h_0,0.76,1.15,0.85,0.92,0.58,0.6,0.49,0.75,0.78,0.83,0.87,0.77,0.8,0.53,0.88,1.05
e_0,0.64,1.0,0.79,0.94,0.71,0.81,1.04,0.96,1.04,0.93,0.98,0.84,0.74,0.98,1.69,0.84
g_0,0.76,0.98,1.23,0.85,0.59,0.41,0.83,0.55,0.91,1.03,1.01,1.36,0.8,1.07,0.9,0.6
