,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.1,2.76,2.63,3.16,2.89,2.5,0.68,0.62,1.06,0.54,0.96,0.61,0.58,0.3,0.63,0.5
e_1,1.84,1.1,2.75,3.79,3.43,2.73,0.88,0.76,0.97,0.63,0.77,0.65,0.61,0.5,1.08,0.48
d_1,3.12,3.95,1.1,3.33,3.27,2.87,0.86,1.03,0.53,0.63,0.64,0.61,0.52,0.42,0.58,0.29
c_1,3.41,2.64,4.65,1.11,3.55,3.36,0.95,0.36,0.99,1.14,0.62,0.71,0.68,0.44,0.59,0.47
b_1,4.33,3.82,4.74,2.14,1.11,3.74,1.14,0.78,1.19,1.06,0.77,1.09,0.76,0.59,0.64,0.65
a_1,7.3,5.81,5.24,5.51,2.85,1.14,2.08,1.59,1.95,1.33,1.18,1.97,2.68,0.89,1.14,0.88
h_1,11.69,10.47,9.73,11.51,11.49,10.05,1.6,2.29,2.93,1.92,2.08,2.06,1.83,2.31,1.92,1.44
d_0,14.84,8.53,19.93,14.62,16.73,14.28,4.68,2.07,4.64,3.63,3.05,3.46,2.79,2.34,3.08,2.43
g_1,15.02,14.89,14.32,14.62,15.99,14.61,3.16,3.6,1.65,2.61,2.66,3.14,2.59,1.61,2.81,3.04
c_0,17.15,16.0,8.38,27.96,19.83,12.66,4.49,4.64,4.45,1.99,2.88,3.12,2.76,2.46,2.96,2.08
f_0,26.93,16.58,15.68,15.7,16.08,15.31,5.2,4.22,3.55,3.11,2.03,3.79,2.94,2.51,3.85,1.43
b_0,18.55,16.51,13.79,24.33,28.38,13.66,5.2,3.9,4.57,1.97,3.07,1.95,3.28,2.83,3.47,2.42
a_0,30.3,23.58,22.82,27.71,31.47,28.34,6.96,5.62,5.59,3.73,3.94,2.45,2.32,3.69,4.28,3.38
h_0,23.61,24.05,22.51,23.96,24.33,20.64,8.42,4.98,7.03,4.85,4.79,5.42,4.38,4.83,4.38,3.56
e_0,35.65,31.31,23.14,21.83,23.16,25.66,6.96,4.6,6.35,4.51,2.6,5.03,4.33,3.55,2.28,2.57
g_0,28.86,29.29,26.26,29.79,27.31,30.63,6.01,5.87,9.48,5.44,6.47,6.74,4.8,3.31,5.2,4.94
