,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.1,1.82,3.25,3.12,3.37,2.99,0.94,0.66,0.91,0.6,0.72,0.62,0.47,0.59,0.48,0.96
f_1,3.0,1.1,3.31,2.66,3.16,3.25,0.69,0.73,0.92,0.62,0.76,0.57,0.33,0.61,0.52,0.53
c_1,2.5,3.56,1.11,4.78,3.39,3.17,0.93,0.38,0.9,1.05,0.59,0.7,0.56,0.65,0.59,0.58
d_1,4.4,3.86,3.39,1.1,3.21,2.53,0.82,1.2,0.6,0.66,0.67,0.78,0.44,0.73,0.32,0.58
b_1,3.97,4.37,2.09,4.26,1.12,3.5,1.19,0.86,1.26,1.08,0.77,1.32,0.54,0.81,0.52,0.73
a_1,5.76,5.66,5.35,5.29,2.55,1.13,1.64,1.4,1.58,1.33,1.36,2.01,0.89,1.74,0.95,1.46
h_1,11.22,12.01,12.0,9.89,10.16,10.4,1.61,2.4,2.86,2.0,1.96,2.13,2.04,1.83,1.47,1.88
d_0,7.57,13.65,14.28,20.29,15.15,13.76,4.65,1.95,4.07,2.7,2.54,2.45,2.21,2.49,2.04,2.63
g_1,14.18,16.2,16.06,13.97,13.32,12.6,3.0,3.56,1.68,2.97,2.64,3.17,1.61,2.71,2.39,2.55
c_0,16.26,14.69,28.82,8.61,16.65,14.03,4.42,5.68,4.28,1.91,2.99,3.09,2.01,3.24,1.82,3.05
f_0,16.26,25.6,19.21,16.42,15.48,14.62,5.03,3.84,2.96,3.3,2.14,3.5,2.54,3.03,1.44,3.74
b_0,16.94,17.86,24.83,14.61,25.12,17.0,5.72,4.44,5.38,1.95,3.53,1.91,2.38,3.33,2.14,3.62
h_0,21.64,24.52,19.68,20.42,21.06,20.3,8.13,5.24,7.07,4.68,4.01,4.88,4.39,4.42,3.19,3.87
a_0,22.58,25.05,25.42,23.95,29.22,40.21,7.7,4.95,7.3,4.36,4.68,2.53,3.61,2.25,3.77,3.83
g_0,27.71,28.08,26.03,21.97,30.47,26.14,6.49,6.37,9.88,5.39,4.89,5.72,3.02,5.53,4.44,4.7
e_0,34.51,34.14,34.71,26.32,28.64,25.19,7.91,6.26,7.38,6.41,3.05,6.19,3.8,5.08,3.11,2.46
