,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.12,1.35,1.25,1.77,4.07,18.73,23.5,36.84,34.79,41.97,53.93,82.69,88.21,91.96,101.03
f_1,0.89,1.0,1.65,1.24,1.83,3.03,15.0,29.18,30.55,34.94,38.25,54.11,72.64,66.28,87.12,111.1
e_1,0.74,0.61,1.0,1.35,1.57,2.85,15.09,23.96,23.07,40.17,35.92,43.83,64.55,69.11,85.35,96.75
c_1,0.81,0.81,0.74,1.0,1.83,2.49,14.55,22.97,17.62,17.05,20.03,37.69,43.6,57.25,71.14,74.62
b_1,0.56,0.55,0.63,0.55,1.0,2.35,11.17,17.31,18.94,19.33,17.91,25.32,32.95,44.14,45.82,62.69
a_1,0.25,0.33,0.35,0.4,0.42,1.0,7.04,8.03,8.53,10.0,13.83,14.97,15.75,25.82,34.16,40.24
h_1,0.05,0.07,0.06,0.07,0.09,0.14,1.0,1.7,1.65,1.8,2.25,2.46,3.73,4.88,5.74,6.59
g_1,0.04,0.03,0.04,0.04,0.06,0.12,0.57,1.0,0.94,1.13,1.46,2.06,2.52,2.57,4.13,3.76
c_0,0.03,0.03,0.04,0.06,0.05,0.12,0.61,1.04,1.0,1.45,1.81,1.49,2.65,2.62,3.35,3.89
d_0,0.03,0.03,0.03,0.06,0.05,0.1,0.53,0.89,0.69,1.0,1.08,1.38,2.31,2.47,2.76,2.99
b_0,0.02,0.03,0.03,0.05,0.05,0.07,0.44,0.7,0.53,0.96,1.0,1.21,2.35,1.97,2.53,2.75
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.4,0.48,0.64,0.69,0.77,1.0,1.43,1.68,3.46,1.93
a_0,0.01,0.01,0.02,0.02,0.03,0.06,0.28,0.39,0.38,0.48,0.42,0.67,1.0,1.19,1.47,1.49
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.21,0.37,0.38,0.41,0.5,0.62,0.85,1.0,0.99,1.43
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.23,0.29,0.36,0.39,0.29,0.67,1.04,1.0,0.91
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.26,0.27,0.34,0.36,0.5,0.69,0.71,1.06,1.0
