,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.92,0.67,0.38,0.36,0.29,0.18,0.33,0.31,0.38,0.3,0.22,0.3,0.34,0.23,0.17,0.25
e_1,0.44,0.92,0.33,0.47,0.36,0.22,0.33,0.31,0.61,0.31,0.34,0.29,0.35,0.25,0.19,0.26
d_1,0.45,0.4,0.93,0.31,0.3,0.2,0.35,0.35,0.27,0.62,0.35,0.4,0.37,0.28,0.27,0.29
c_1,0.42,0.4,0.4,0.91,0.58,0.23,0.35,0.3,0.32,0.2,0.33,0.2,0.29,0.21,0.24,0.23
b_1,0.46,0.41,0.38,0.34,0.9,0.45,0.38,0.31,0.34,0.27,0.28,0.2,0.36,0.17,0.23,0.25
a_1,0.48,0.44,0.45,0.34,0.29,0.89,0.4,0.38,0.29,0.35,0.33,0.34,0.38,0.14,0.22,0.26
h_1,0.6,0.43,0.47,0.4,0.34,0.24,0.66,0.42,0.37,0.27,0.28,0.26,0.26,0.21,0.23,0.35
g_1,0.45,0.42,0.61,0.41,0.31,0.22,0.39,0.63,0.31,0.37,0.43,0.29,0.33,0.27,0.26,0.24
d_0,0.44,0.43,0.29,0.68,0.41,0.29,0.37,0.34,0.56,0.22,0.35,0.26,0.32,0.25,0.23,0.26
c_0,0.51,0.45,0.53,0.37,0.26,0.21,0.39,0.36,0.37,0.57,0.32,0.6,0.39,0.34,0.28,0.31
f_0,0.4,0.37,0.52,0.41,0.4,0.24,0.44,0.36,0.38,0.41,0.54,0.3,0.37,0.22,0.53,0.33
b_0,0.54,0.37,0.51,0.47,0.26,0.19,0.39,0.35,0.39,0.36,0.33,0.53,0.43,0.49,0.29,0.34
h_0,0.6,0.46,0.45,0.39,0.31,0.21,0.3,0.46,0.36,0.34,0.33,0.34,0.3,0.31,0.23,0.35
a_0,0.49,0.4,0.53,0.43,0.4,0.17,0.45,0.33,0.36,0.37,0.33,0.29,0.39,0.48,0.28,0.31
e_0,0.52,0.36,0.49,0.42,0.34,0.27,0.44,0.36,0.37,0.37,0.35,0.35,0.46,0.27,0.46,0.25
g_0,0.42,0.39,0.62,0.36,0.38,0.21,0.35,0.3,0.3,0.42,0.5,0.35,0.38,0.27,0.32,0.25
