,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.05,0.72,0.84,,0.53,0.37,0.56,,0.44,0.37,0.39,0.39,0.32,0.26
e_1,0.94,1.0,0.72,0.88,0.74,0.78,0.53,0.48,0.39,0.66,0.4,0.37,0.35,0.41,,0.34
f_1,0.95,1.4,1.0,1.12,0.88,0.72,0.42,0.55,0.41,0.39,0.44,,0.3,0.33,0.32,0.25
c_1,1.38,1.13,0.89,1.0,1.35,0.83,0.61,0.44,,0.34,0.47,0.52,0.37,,,0.45
b_1,1.19,1.35,1.13,0.74,1.0,,0.57,0.5,0.59,0.45,,0.45,0.26,0.41,0.52,0.43
a_1,,1.28,1.38,1.21,,1.0,0.58,0.73,0.49,0.61,0.63,0.57,0.7,,,0.39
h_1,1.87,1.89,2.37,1.63,1.74,1.72,1.0,1.18,0.88,0.86,0.72,0.67,,0.55,0.68,0.8
g_1,2.7,2.09,1.8,2.3,1.98,1.37,0.85,1.0,1.15,0.83,1.0,1.22,0.63,0.72,0.93,
c_0,1.8,2.57,2.42,,1.7,2.04,1.14,0.87,1.0,1.02,1.27,0.92,0.82,0.59,0.69,0.65
d_0,,1.51,2.57,2.96,2.24,1.64,1.16,1.21,0.98,1.0,1.16,0.91,0.79,0.86,0.8,0.79
b_0,2.28,2.53,2.28,2.13,,1.59,1.39,1.0,0.79,0.86,1.0,0.81,1.14,1.32,0.76,1.14
f_0,2.68,2.68,,1.91,2.22,1.77,1.49,0.82,1.09,1.09,1.24,1.0,1.08,0.88,1.1,0.53
h_0,2.57,2.89,3.31,2.69,3.79,1.44,,1.59,1.22,1.27,0.88,0.93,,0.85,0.86,1.21
a_0,2.53,2.44,3.04,,2.44,,1.81,1.39,1.7,1.16,0.76,1.14,1.17,1.0,,0.9
e_0,3.11,,3.09,,1.93,,1.47,1.08,1.44,1.25,1.31,0.91,1.16,,1.0,1.14
g_0,3.82,2.9,3.93,2.21,2.34,2.55,1.26,,1.54,1.26,0.88,1.9,0.83,1.12,0.88,
