,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.26,0.99,0.9,0.96,0.89,0.89,1.02,0.92,1.04,0.91,0.9,0.83,0.84,0.91,1.11
e_1,0.8,1.0,1.28,0.93,0.96,0.99,1.0,1.34,0.99,1.05,1.08,1.18,1.13,1.08,1.08,1.02
c_1,1.02,0.77,1.0,1.09,1.45,1.06,1.04,0.72,0.84,0.9,0.74,0.92,1.01,1.03,0.85,0.95
d_1,1.11,1.06,0.92,1.0,0.96,0.85,0.95,1.06,1.22,0.83,1.09,0.94,1.09,0.88,1.0,0.8
b_1,1.04,1.04,0.71,1.04,1.0,1.47,1.06,0.9,1.1,1.06,1.01,1.01,1.06,0.96,0.85,1.06
a_1,1.11,0.98,0.96,1.15,0.68,1.0,1.21,1.09,1.09,1.13,1.39,1.1,1.01,1.13,1.29,1.13
h_1,1.11,1.01,0.98,1.07,0.93,0.78,1.0,0.92,0.86,1.21,0.95,1.0,0.96,1.02,1.08,1.17
d_0,0.94,0.75,1.39,0.95,1.13,0.88,1.1,1.0,0.92,1.06,0.98,1.07,1.05,1.1,1.01,1.18
c_0,1.1,1.02,1.19,0.81,0.91,0.9,1.13,1.1,1.0,1.1,1.47,1.0,1.02,1.03,1.09,1.06
g_1,0.99,0.96,1.04,1.19,0.9,0.88,0.84,0.93,0.95,1.0,0.93,1.12,0.85,1.1,1.14,0.86
b_0,1.1,0.93,1.34,0.88,0.98,0.76,1.04,1.07,0.7,1.06,1.0,0.93,1.07,1.11,1.41,1.04
f_0,1.1,0.86,1.05,1.08,0.98,0.85,0.99,0.98,0.99,0.84,1.04,1.0,0.97,1.4,1.07,0.83
h_0,1.16,0.88,1.02,0.94,0.93,0.93,1.06,1.0,0.95,1.17,0.99,0.98,1.01,0.94,0.94,1.26
e_0,1.15,0.93,0.95,1.1,1.01,0.95,1.0,0.85,0.98,0.91,0.9,0.75,1.0,1.0,1.01,1.03
a_0,1.11,0.9,1.2,0.97,1.25,0.77,0.99,1.06,0.91,0.94,0.73,0.92,1.08,1.12,1.0,0.97
g_0,0.94,0.95,1.04,1.22,0.92,0.92,0.88,0.89,0.94,1.15,0.99,1.17,0.79,0.99,1.03,1.0
