,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.14,11.47,9.23,11.28,10.26,9.16,2.12,3.17,1.97,1.96,1.98,13.32,1.12,1.89,1.63,1.49
e_1,5.45,1.14,15.53,10.41,10.83,13.67,3.05,3.5,2.67,2.73,2.78,2.77,1.64,2.65,1.87,11.17
d_1,12.37,15.02,1.14,14.21,13.8,9.64,3.52,2.26,11.55,2.04,2.24,1.94,1.61,2.45,0.94,2.27
c_1,12.96,10.89,16.61,1.14,10.83,16.1,3.43,3.31,1.37,9.7,2.65,2.5,1.79,2.78,1.97,2.47
b_1,17.67,11.81,17.13,7.94,1.15,13.22,5.79,4.8,2.98,4.05,12.18,3.33,1.99,2.84,2.76,3.72
a_1,24.66,18.15,19.32,20.75,11.14,1.15,6.78,6.5,4.47,5.22,4.52,4.56,3.42,20.79,2.81,3.95
h_1,29.22,34.75,22.76,23.94,26.39,24.05,1.91,7.75,6.98,4.53,5.43,4.91,10.11,4.59,5.76,5.79
g_1,29.91,34.75,27.02,35.77,39.39,32.72,8.42,1.91,8.59,7.94,5.69,6.66,3.74,7.6,13.08,7.2
d_0,39.15,16.82,87.45,36.19,37.75,34.41,10.97,11.37,2.65,5.55,6.35,5.33,5.49,7.45,5.4,6.23
c_0,60.29,35.09,18.06,103.73,42.47,45.36,8.87,11.96,7.79,2.69,7.37,5.38,5.71,8.06,6.07,6.23
b_0,38.36,36.13,28.4,62.24,118.17,36.29,10.3,10.49,6.5,3.45,2.58,6.93,4.94,6.58,5.0,6.89
f_0,108.51,43.96,34.26,33.83,51.28,37.66,14.89,6.96,9.31,9.7,9.48,2.61,6.36,8.06,4.25,8.1
h_0,48.08,61.85,44.91,55.57,39.39,41.58,34.75,17.49,13.96,8.15,9.95,10.33,27.81,8.98,8.29,9.0
a_0,55.85,54.46,56.32,49.4,90.6,133.07,14.63,15.5,17.18,9.12,6.71,10.33,7.81,2.78,7.56,8.76
g_0,73.04,64.02,61.54,79.79,59.09,76.77,11.91,42.62,14.89,9.7,12.44,9.73,8.24,11.97,17.89,10.8
e_0,79.12,280.69,60.42,77.8,61.77,68.83,15.44,23.52,10.31,9.55,11.26,6.66,10.6,8.06,9.44,2.89
