,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,105.81,81.63,71.79,79.97,90.67,308.99,6231.7,17518.67,18502.81,20366.78,20391.78,31059.77,77065.94,118640.68,78520.24,197761.15
e_1,47.36,106.16,57.08,100.22,117.35,388.8,7532.73,31449.91,18147.12,22425.26,35909.29,34115.73,102319.17,124396.85,70197.94,182555.61
d_1,51.91,57.17,134.06,57.18,79.35,362.43,6661.68,12650.38,13618.74,33682.46,30963.3,33708.71,80665.58,102505.33,104367.53,157886.33
c_1,46.2,37.72,64.3,146.74,148.25,320.01,5991.79,14873.07,15160.4,11604.42,28229.64,23789.05,80892.69,96291.14,94262.48,178297.52
b_1,48.02,35.91,63.42,51.64,186.81,494.69,5521.61,14632.23,13690.7,15941.36,29946.88,15651.4,68140.88,94852.5,84188.46,160082.56
a_1,33.29,27.73,36.38,42.96,47.4,531.53,4155.96,11341.62,9343.49,11544.76,17749.5,21865.5,47314.67,58427.17,49456.38,90836.32
h_1,17.77,14.09,18.87,22.23,26.68,84.8,2939.92,4745.29,6150.27,5812.73,7991.43,8241.05,24913.19,27213.81,23706.09,64929.02
d_0,11.27,8.12,11.72,28.65,22.03,58.83,1525.87,5227.67,3392.93,3576.83,6023.63,7370.45,18881.25,23128.69,20723.94,46254.24
g_1,8.61,9.87,22.14,14.61,20.35,67.62,1245.22,3382.57,6098.73,3810.83,8005.83,7216.33,18211.79,21496.05,21738.87,32375.07
c_0,12.35,9.99,12.06,11.55,18.33,66.68,1584.02,3624.81,4021.36,5900.58,6818.72,11325.03,24710.71,25147.0,20677.13,40339.56
f_0,7.45,7.79,13.28,15.45,16.58,62.27,1302.75,3445.13,3148.1,3826.56,8225.09,6654.84,19292.76,20749.98,33039.25,27605.92
b_0,9.63,9.1,13.15,15.57,15.67,37.06,1284.67,3002.55,3069.6,3165.4,5462.41,8426.03,32711.57,20785.87,16971.96,32754.25
a_0,6.86,6.36,10.19,9.55,14.04,24.34,961.52,2386.92,2304.39,2482.76,4129.4,3169.69,17957.64,14733.83,12410.32,23650.54
h_0,8.1,5.76,9.51,10.52,11.55,39.02,637.19,2171.04,2434.72,2497.64,3523.5,3776.3,10438.42,9788.86,12113.59,27911.93
e_0,6.68,4.43,8.86,10.74,14.15,50.12,886.74,2021.0,2069.69,2508.23,3378.77,4059.1,12023.51,14169.69,19341.57,21958.15
g_0,4.9,5.02,10.15,8.43,8.17,37.7,708.39,1659.02,1488.74,2042.78,5401.4,3341.5,9694.65,10732.48,11233.11,15755.64
