,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.94,1.45,1.24,1.53,2.65,26.38,40.46,33.67,39.57,46.32,59.23,75.31,114.73,155.81,163.1
f_1,1.06,1.0,1.06,1.03,1.43,2.81,18.04,24.94,28.35,33.55,38.98,43.4,53.42,85.63,87.56,130.01
c_1,0.69,0.94,1.0,1.22,2.0,2.54,22.93,19.05,26.55,30.99,32.55,43.4,62.93,100.28,96.58,130.0
d_1,0.81,0.97,0.82,1.0,1.41,2.58,20.39,26.22,21.49,41.91,36.23,39.66,60.42,94.02,99.64,93.23
b_1,0.64,0.7,0.5,0.71,1.0,2.87,15.05,17.11,18.81,26.34,26.52,29.36,47.17,72.61,78.52,77.91
a_1,0.37,0.36,0.39,0.39,0.35,1.0,8.52,8.78,10.21,13.39,15.62,15.61,27.89,39.9,34.91,50.21
h_1,0.04,0.06,0.04,0.05,0.06,0.12,1.0,1.1,1.46,1.52,1.65,2.12,2.66,4.42,4.27,7.08
d_0,0.03,0.04,0.05,0.04,0.06,0.11,0.95,1.0,1.01,1.15,1.42,1.66,2.47,3.52,4.87,5.44
g_1,0.03,0.04,0.04,0.05,0.05,0.1,0.67,0.99,1.0,1.28,1.5,2.09,2.12,3.51,4.69,5.29
c_0,0.02,0.03,0.03,0.02,0.04,0.07,0.66,0.84,0.74,1.0,1.63,1.21,1.98,2.71,3.78,3.74
b_0,0.02,0.03,0.03,0.03,0.03,0.06,0.62,0.69,0.68,0.62,1.0,1.12,1.7,3.85,3.4,3.38
f_0,0.02,0.02,0.02,0.02,0.04,0.07,0.51,0.61,0.47,0.82,0.93,1.0,1.44,2.08,3.7,2.64
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.37,0.4,0.47,0.51,0.62,0.71,1.0,1.45,1.64,2.27
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.22,0.28,0.27,0.39,0.28,0.45,0.66,1.0,1.09,1.11
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.24,0.2,0.22,0.27,0.29,0.27,0.62,0.86,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.18,0.19,0.26,0.3,0.4,0.42,0.84,0.87,1.0
