,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,115.47,10.66,12.24,21.17,17.9,65.93,1575.66,3036.15,4694.21,7426.88,8867.46,9820.48,23520.68,,18368.46,26192.13
d_1,13.64,117.79,12.75,16.99,21.18,71.53,1537.53,2588.66,7468.54,,7665.79,8080.2,27796.76,23274.9,16652.3,25273.09
f_1,20.31,13.09,122.33,14.85,20.68,47.94,1580.16,3242.4,4354.97,5324.72,,8554.93,20162.64,15792.15,21436.07,33808.29
c_1,8.75,11.97,14.96,155.63,36.68,53.61,1386.27,2056.97,,3803.4,7809.76,4746.77,21477.02,17713.78,19393.57,32296.62
b_1,12.73,9.0,11.39,10.55,173.97,86.47,1539.93,2350.72,3261.07,4115.57,6327.13,,24801.78,,18740.79,31509.29
a_1,7.33,7.76,8.53,12.39,11.21,410.47,825.95,2138.78,2471.69,3517.83,,6364.94,11967.77,13838.49,,24645.0
h_1,6.19,6.04,7.55,11.55,9.73,29.66,2746.67,1614.27,2233.41,2084.25,3676.76,4949.81,,6795.8,8674.36,24805.82
g_1,5.08,8.34,5.0,5.55,9.57,19.09,647.85,4764.32,1698.43,1939.2,3729.39,4149.82,5174.59,7165.4,7168.05,
c_0,5.28,5.33,5.85,,8.44,23.61,729.62,1344.48,4930.12,2239.94,3022.32,5633.12,6266.3,9201.67,9851.4,14073.97
d_0,5.53,,5.77,13.88,9.32,20.61,759.97,843.7,1208.38,5159.19,3299.18,3934.3,9598.71,6284.48,7639.42,11362.22
f_0,4.11,5.14,,6.08,7.75,,556.96,1207.82,1723.99,1499.37,7334.95,2939.98,9126.2,14719.21,,10593.62
b_0,3.63,5.36,5.0,7.66,,14.74,475.55,1022.88,1426.56,1295.66,2190.46,8369.72,10480.97,5137.91,13988.95,8776.07
h_0,3.62,3.08,6.38,5.69,6.85,14.75,,1616.05,1920.38,1628.44,1948.67,1974.52,,6526.76,6270.3,14198.19
e_0,,3.06,4.14,4.01,,20.5,514.58,908.04,997.56,1684.88,1423.61,2469.99,6395.86,17148.35,,8383.63
a_0,3.54,3.86,3.42,4.23,4.15,,474.37,681.28,975.13,1204.79,,1618.21,7213.17,,16955.3,11006.21
g_0,3.65,5.94,3.24,5.19,5.3,14.61,357.04,,1064.9,1365.97,2693.99,3576.78,5425.18,5638.99,5149.9,
