,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.65,1.01,0.85,1.02,0.84,0.91,0.34,0.3,0.42,0.35,0.32,0.33,0.23,0.31,0.29,0.28
e_1,0.72,0.65,0.98,1.18,0.97,0.84,0.47,0.37,0.47,0.43,0.35,0.46,0.28,0.32,0.28,0.36
d_1,1.08,1.06,0.64,0.89,0.89,0.71,0.4,0.4,0.31,0.42,0.35,0.32,0.28,0.29,0.21,0.31
c_1,1.03,0.78,1.14,0.64,1.09,0.9,0.48,0.39,0.42,0.25,0.35,0.35,0.28,0.3,0.27,0.31
b_1,1.29,1.09,1.05,0.7,0.61,1.08,0.54,0.52,0.47,0.38,0.49,0.39,0.34,0.34,0.32,0.34
a_1,1.26,1.35,1.41,1.2,0.76,0.56,0.57,0.49,0.58,0.51,0.53,0.47,0.41,0.61,0.43,0.43
h_1,1.75,1.54,1.55,1.47,1.32,1.27,0.54,0.53,0.69,0.59,0.6,0.49,0.52,0.5,0.47,0.5
c_0,1.99,1.8,1.22,2.07,1.53,1.45,0.82,0.55,0.68,0.82,0.72,0.6,0.53,0.61,0.5,0.55
g_1,1.78,1.63,1.94,2.07,1.44,1.34,0.64,0.59,0.51,0.59,0.61,0.62,0.39,0.62,0.48,0.6
d_0,1.68,1.2,2.08,2.02,1.84,1.58,0.84,0.59,0.87,0.55,0.61,0.65,0.55,0.59,0.52,0.62
b_0,1.83,1.86,1.64,2.25,1.93,1.47,0.79,0.46,0.77,0.68,0.52,0.62,0.53,0.78,0.53,0.57
f_0,2.51,1.71,1.87,1.8,1.57,1.48,0.93,0.66,0.63,0.65,0.66,0.52,0.52,0.72,0.4,0.68
h_0,2.21,2.04,2.07,2.01,1.79,1.55,1.01,0.7,1.05,0.76,0.68,0.73,0.67,0.66,0.62,0.6
a_0,2.26,2.11,2.03,2.38,2.11,1.77,1.1,0.69,0.77,0.77,0.47,0.67,0.68,0.53,0.57,0.72
g_0,2.07,2.07,2.3,2.13,2.12,1.63,0.8,0.78,1.12,0.78,0.74,0.88,0.54,0.75,0.66,0.72
e_0,2.83,2.67,2.05,2.21,2.12,1.82,1.01,0.75,0.8,0.73,0.78,0.49,0.7,0.81,0.55,0.51
