,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.66,2.48,1.81,2.82,2.06,2.34,7.45,18.48,8.39,9.36,11.84,10.06,11.34,17.91,16.8,8.76
f_1,3.6,5.73,2.04,2.22,1.96,1.87,7.96,10.13,7.97,10.73,9.7,5.69,10.16,15.62,12.67,7.94
d_1,2.21,2.43,6.5,1.69,2.04,2.12,8.7,6.92,7.34,19.61,13.01,11.5,12.53,18.08,18.33,13.32
c_1,2.01,2.13,2.19,6.86,4.23,2.3,7.99,8.68,8.04,5.95,7.9,9.5,9.06,13.43,11.88,11.61
b_1,1.9,1.97,2.38,2.17,8.78,4.82,8.14,8.54,7.96,9.51,6.28,11.46,8.52,16.31,14.88,12.31
a_1,2.26,2.38,2.4,2.36,1.93,11.21,9.31,9.99,8.25,11.5,11.01,11.48,5.78,16.98,20.11,10.88
h_1,2.37,3.28,2.76,2.23,2.38,2.14,16.33,9.49,10.64,11.16,10.48,10.32,11.43,13.21,20.64,14.02
d_0,2.13,2.54,1.71,4.57,2.59,2.26,8.41,17.34,8.99,7.22,11.13,11.17,11.98,16.75,16.27,12.76
g_1,2.12,1.84,3.88,2.48,2.34,2.3,8.78,9.32,22.68,11.72,12.83,19.54,13.24,15.05,13.19,16.14
c_0,2.77,2.44,2.5,2.2,1.82,2.26,9.05,13.28,8.7,18.81,21.62,13.01,15.15,18.99,22.37,12.99
b_0,2.34,2.83,2.7,3.02,1.79,1.48,8.9,12.45,9.4,10.24,20.88,13.29,24.22,16.94,17.62,13.53
f_0,2.11,2.0,3.04,2.73,2.4,2.47,8.74,11.23,9.17,11.21,13.29,22.37,13.68,19.99,21.64,29.58
a_0,2.26,2.56,2.99,3.14,2.62,1.37,9.25,12.07,9.91,10.19,11.6,11.95,26.57,17.8,17.11,15.62
h_0,2.46,3.19,2.65,2.5,1.91,2.8,7.45,12.29,12.76,10.18,11.4,10.9,12.38,11.79,24.09,11.89
g_0,2.13,2.32,3.8,2.54,2.24,2.04,9.18,10.38,5.89,11.19,13.22,17.22,14.99,17.75,14.66,15.28
e_0,1.57,3.19,2.77,2.68,2.89,2.26,9.2,11.01,9.47,11.65,12.44,11.64,12.62,20.31,17.79,27.15
