,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,9.29,9.32,10.76,8.49,9.31,2.8,2.8,3.15,2.4,3.09,,1.41,3.01,2.59,3.09
e_1,6.79,1.07,8.91,10.11,10.13,8.28,3.27,3.24,2.95,3.03,2.57,3.25,2.1,2.56,,1.91
d_1,9.88,12.59,1.07,10.01,7.66,7.51,3.85,3.15,1.8,,3.12,2.57,2.05,2.54,2.65,1.94
c_1,11.62,9.72,13.35,1.07,18.11,9.38,3.64,,3.26,1.82,2.79,3.13,2.14,2.54,1.86,2.91
b_1,9.84,12.39,12.74,5.06,1.07,13.99,4.93,3.21,3.32,3.45,,2.69,3.35,3.1,2.39,1.87
a_1,12.5,13.61,16.8,14.94,8.3,1.07,4.32,4.54,4.62,3.83,4.56,4.75,4.14,,,2.93
h_1,13.34,12.99,12.98,12.2,11.99,11.22,1.41,4.07,6.54,3.3,3.83,4.08,,3.55,3.9,2.88
c_0,16.25,13.24,8.74,,15.49,12.28,5.92,1.75,4.4,5.62,4.94,3.92,3.33,3.54,3.51,2.69
g_1,18.41,22.44,22.33,17.9,15.7,17.86,4.48,5.51,1.41,4.84,4.47,5.14,2.19,3.87,,
d_0,14.74,9.69,,20.5,14.42,12.3,7.17,4.22,8.66,1.72,4.68,3.65,2.72,3.57,3.08,2.67
b_0,18.05,16.95,13.92,15.0,,17.95,5.79,3.06,7.04,4.14,1.76,3.97,5.78,6.2,3.73,2.95
f_0,,19.13,16.03,17.6,21.53,12.46,7.27,5.19,4.82,5.59,4.99,1.73,4.39,6.31,6.4,2.17
h_0,20.02,15.57,14.95,14.55,11.37,11.38,,4.09,8.94,5.06,3.3,4.24,,2.93,,3.55
a_0,18.7,30.29,25.03,20.72,19.14,,7.62,5.93,7.12,7.48,3.07,4.55,6.02,1.8,,5.92
e_0,24.47,,22.94,29.14,20.88,,7.17,5.51,,8.18,7.35,3.65,,,1.71,
g_0,15.39,17.24,18.76,13.39,18.55,16.14,6.11,7.08,,6.73,6.56,6.94,3.77,4.41,,
