,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.66,1.0,0.88,0.93,0.85,0.74,0.34,0.35,0.39,0.32,0.4,0.33,0.23,0.32,0.26,0.32
e_1,0.72,0.65,1.1,0.91,0.94,0.87,0.41,0.43,0.43,0.34,0.43,0.33,0.3,0.4,0.34,0.28
c_1,1.03,0.84,0.63,1.19,1.04,0.82,0.4,0.25,0.45,0.38,0.35,0.32,0.3,0.29,0.31,0.29
d_1,1.02,1.09,0.96,0.63,0.94,0.85,0.44,0.45,0.32,0.41,0.36,0.38,0.3,0.3,0.31,0.21
b_1,1.15,1.08,0.73,1.13,0.61,1.11,0.51,0.4,0.51,0.46,0.36,0.45,0.34,0.34,0.38,0.3
a_1,1.4,1.25,1.1,1.23,0.7,0.57,0.6,0.48,0.57,0.49,0.41,0.53,0.37,0.42,0.54,0.35
h_1,1.82,1.6,1.64,1.48,1.49,1.43,0.53,0.56,0.7,0.53,0.54,0.58,0.5,0.48,0.52,0.48
d_0,1.69,1.23,2.12,2.07,1.55,1.39,0.86,0.56,0.83,0.62,0.68,0.73,0.53,0.59,0.62,0.6
g_1,1.89,1.66,1.7,1.72,1.68,1.57,0.63,0.65,0.51,0.56,0.65,0.58,0.45,0.6,0.64,0.5
c_0,1.95,1.78,2.3,1.18,1.94,1.68,0.89,0.78,0.77,0.54,0.6,0.86,0.57,0.64,0.66,0.46
f_0,2.25,1.67,1.93,1.66,1.74,1.64,0.83,0.66,0.6,0.65,0.52,0.66,0.51,0.69,0.64,0.37
b_0,1.97,1.84,2.6,1.46,2.17,1.52,0.85,0.7,0.71,0.42,0.64,0.53,0.53,0.6,0.68,0.5
h_0,2.23,1.89,1.97,1.85,1.83,1.7,1.02,0.72,0.86,0.67,0.69,0.68,0.62,0.57,0.65,0.56
e_0,2.56,2.28,2.35,1.92,2.17,1.84,1.06,0.82,0.82,0.7,0.49,0.73,0.63,0.5,0.71,0.49
a_0,2.44,2.19,2.54,2.03,2.19,1.79,1.08,0.78,0.85,0.61,0.75,0.49,0.65,0.67,0.51,0.62
g_0,2.36,2.22,2.12,2.35,1.93,1.9,0.81,0.73,1.0,0.81,0.79,0.76,0.55,0.67,0.64,0.65
