,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.04,1.09,1.63,1.44,1.59,1.28,0.56,0.56,0.56,0.43,0.49,0.42,0.39,0.34,0.52,0.35
f_1,1.72,1.04,1.53,1.37,1.47,1.11,0.47,0.59,0.47,0.39,0.45,0.4,0.37,0.27,0.32,0.32
c_1,1.43,1.65,1.05,1.94,1.65,1.24,0.64,0.58,0.33,0.51,0.46,0.46,0.45,0.34,0.4,0.32
d_1,1.89,1.91,1.63,1.04,1.56,1.25,0.6,0.44,0.62,0.5,0.47,0.46,0.47,0.36,0.36,0.25
b_1,1.66,1.79,1.21,1.89,1.05,1.64,0.71,0.66,0.55,0.6,0.49,0.62,0.45,0.42,0.44,0.39
a_1,2.59,3.03,2.44,2.6,1.55,1.06,1.03,0.94,0.84,0.77,0.69,0.99,0.78,0.68,0.69,0.57
h_1,4.14,4.68,4.08,4.06,4.0,2.87,1.23,1.69,1.25,1.09,1.12,1.16,0.97,1.05,0.93,0.9
g_1,4.86,4.95,5.01,5.08,4.96,4.05,1.56,1.25,1.46,1.17,1.49,1.28,1.29,0.94,1.15,1.03
d_0,3.6,4.86,5.71,5.97,4.67,4.11,2.15,2.21,1.34,1.44,1.35,1.61,1.51,1.07,1.48,1.19
c_0,6.57,6.96,7.06,4.22,5.6,4.86,2.64,2.1,2.28,1.36,1.66,1.82,1.59,1.35,1.36,1.36
f_0,5.78,7.38,6.32,6.3,5.73,4.65,2.37,1.62,1.98,1.67,1.37,1.81,1.57,1.48,1.98,0.97
b_0,6.88,6.97,6.9,5.43,6.54,4.49,2.32,2.16,1.95,1.13,1.61,1.33,1.86,1.32,1.34,1.32
a_0,7.54,7.6,7.94,6.33,8.03,6.09,2.97,2.55,2.27,1.71,1.86,1.34,1.4,1.55,1.84,1.42
h_0,7.31,7.67,7.95,6.94,7.19,5.89,3.24,2.78,2.64,2.1,2.02,2.23,1.97,1.86,1.7,1.66
e_0,9.02,11.05,8.01,7.21,7.16,5.96,3.47,2.8,2.64,2.32,1.41,2.48,1.88,1.89,1.51,1.53
g_0,8.26,8.87,9.7,9.27,8.2,6.82,2.99,3.47,2.89,2.55,2.9,2.56,2.45,1.62,2.49,2.04
