,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,7969.69,250.98,253.54,304.9,329.47,1159.25,195090.53,748482.78,576561.59,690195.9,1299754.23,,5882660.32,6757829.2,6796204.16,12132759.52
e_1,114.26,11073.76,248.81,199.81,400.72,1934.36,196766.26,1115715.32,597062.45,389010.65,1530393.49,1771854.83,6710532.33,3848964.97,,14451810.53
d_1,123.4,175.48,22957.24,214.09,384.54,1253.51,167423.27,,1209099.16,497543.77,1153179.18,2317809.61,5782708.06,6959340.61,7838723.06,17876811.61
c_1,100.12,147.25,314.03,23233.39,566.76,1705.01,147662.71,637336.8,,688624.31,1155763.95,2412351.16,4967716.82,6974939.52,11223275.78,15027061.75
b_1,102.74,181.62,206.37,335.73,30678.44,2846.14,269645.55,796308.14,640568.78,426770.87,,2172531.55,5952179.05,3244551.08,6525951.13,17108827.5
a_1,98.89,150.43,339.29,274.49,290.02,242796.88,203925.49,648550.94,692063.56,607538.88,,2714564.13,5825430.14,,14357517.78,12014724.48
h_1,636.17,434.06,675.5,1268.63,1288.84,6462.07,10480696.73,1976348.79,2788495.42,2879911.26,3911072.76,7449793.2,,22205701.86,34029408.03,89810962.8
d_0,620.46,631.98,,2652.25,1486.06,7983.12,1162775.95,20346219.39,3748815.96,2334800.62,4831670.1,10458344.0,36440102.09,24819909.21,55176618.87,51416258.95
c_0,606.52,901.21,1097.62,,1411.66,9886.11,932331.92,2405208.84,23424971.62,2729731.83,11071935.06,14978530.1,26174229.44,29400011.93,32254868.35,66441029.49
g_1,301.76,598.76,1987.91,1130.79,1216.88,4816.79,753300.08,1884851.16,2428656.49,37078857.42,4632665.69,12643484.25,16160603.79,16337052.08,30121343.21,
b_0,545.69,668.78,1665.26,1356.56,,,1280364.35,3894701.17,4127923.61,2200141.63,42294736.73,9252257.84,24367821.42,47138905.38,55052811.95,63001092.54
f_0,,546.33,1457.53,1146.39,1802.45,7420.05,1238045.64,2948198.96,4542037.1,3322748.93,4725786.66,91494108.93,29490633.39,,107078279.86,84551058.92
h_0,1419.74,1030.13,1893.24,1420.48,2773.28,15497.67,,5142082.42,4515714.73,5467849.94,7722656.48,17358923.23,,24091505.38,88837141.25,141404065.07
a_0,493.93,718.72,1559.14,1233.93,1539.13,,1554681.36,3239437.28,4148133.4,3224248.47,5275046.88,,31742567.03,294150503.01,,
e_0,459.83,,1169.36,1103.69,1874.12,9891.16,1664581.25,3902750.63,3379000.33,3707885.74,7582879.9,9027396.46,24335968.05,,566989989.75,74322759.46
g_0,979.51,642.46,2744.64,1982.53,1780.48,15753.68,1798462.75,3568948.94,4998521.2,,10678848.61,28067967.48,41309945.77,,88144221.11,
