,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.5,0.7,0.54,0.76,0.64,0.69,0.96,1.52,0.95,0.96,0.98,0.94,0.95,1.14,0.92,0.55
f_1,1.26,2.68,0.63,0.6,0.51,0.45,0.74,0.94,0.76,0.89,0.89,0.41,0.89,0.86,0.88,0.52
d_1,0.6,0.73,2.8,0.54,0.61,0.59,1.0,0.49,0.86,1.61,1.16,1.07,1.0,0.99,1.03,1.01
c_1,0.57,0.66,0.64,2.79,1.13,0.63,0.91,0.88,0.86,0.38,0.72,0.78,1.02,0.78,0.91,1.05
b_1,0.57,0.6,0.71,0.63,3.01,1.27,0.85,0.81,0.83,0.86,0.45,1.05,0.86,0.64,0.81,1.04
a_1,0.56,0.67,0.74,0.77,0.67,4.32,0.89,0.91,0.82,1.06,1.02,1.07,0.91,0.49,0.87,0.95
h_1,0.71,1.11,0.89,0.7,0.64,0.68,2.79,1.19,1.47,1.06,0.97,1.09,0.75,1.24,1.96,1.3
d_0,0.8,0.76,0.44,1.58,0.82,0.82,1.05,2.03,1.04,0.76,1.13,1.1,1.32,1.02,1.06,1.08
g_1,0.65,0.66,1.31,0.81,0.73,0.54,1.06,0.89,3.52,1.06,1.22,1.97,1.18,1.26,0.79,1.4
c_0,0.77,0.9,0.81,0.66,0.67,0.77,1.1,1.22,1.24,2.15,2.37,1.2,1.36,1.52,1.35,1.3
b_0,0.95,0.93,0.79,0.87,0.51,0.4,1.41,1.08,1.34,1.1,2.66,1.38,1.5,2.82,1.11,1.02
f_0,0.6,0.46,0.98,0.92,0.85,0.78,1.22,1.11,1.31,1.02,1.15,2.56,1.35,1.24,1.45,3.08
h_0,0.81,1.08,0.75,0.91,0.88,0.54,0.76,1.02,1.59,0.99,1.26,1.13,0.76,1.22,1.36,1.32
a_0,0.74,0.98,1.02,0.79,0.66,0.33,1.33,1.19,1.26,1.09,1.23,1.36,1.59,3.28,1.6,1.3
g_0,0.64,0.67,1.38,0.81,0.81,0.75,0.95,0.83,0.77,1.17,1.2,1.78,1.15,0.97,1.05,1.46
e_0,0.45,0.99,1.09,0.88,0.72,0.71,1.22,1.08,1.24,1.17,1.42,1.28,1.42,1.34,1.39,3.36
