,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.94,0.35,0.41,0.51,0.36,0.29,0.32,0.25,0.26,0.43,0.28,0.25,0.23,0.17,0.12,0.18
d_1,0.48,0.95,0.41,0.35,0.38,0.28,0.3,0.21,0.43,0.15,0.26,0.24,0.23,0.19,0.2,0.2
f_1,0.65,0.47,0.94,0.35,0.34,0.23,0.28,0.27,0.24,0.26,0.11,0.22,0.18,0.2,0.13,0.22
c_1,0.34,0.44,0.46,0.94,0.64,0.26,0.28,0.26,0.16,0.23,0.25,0.16,0.25,0.17,0.19,0.23
b_1,0.44,0.4,0.44,0.35,0.94,0.55,0.31,0.25,0.22,0.25,0.24,0.12,0.28,0.17,0.22,0.22
a_1,0.48,0.51,0.54,0.56,0.36,0.93,0.31,0.32,0.28,0.31,0.26,0.36,0.25,0.14,0.24,0.24
h_1,0.57,0.7,0.83,0.68,0.58,0.42,0.74,0.44,0.39,0.35,0.37,0.38,0.32,0.27,0.28,0.41
g_1,0.67,1.08,0.6,0.47,0.58,0.5,0.48,0.74,0.48,0.36,0.49,0.4,0.3,0.29,0.32,0.25
c_0,0.72,0.7,0.83,0.5,0.62,0.49,0.55,0.42,0.66,0.46,0.42,0.66,0.38,0.4,0.32,0.38
d_0,0.62,0.44,0.73,1.19,0.69,0.37,0.56,0.38,0.31,0.66,0.36,0.4,0.43,0.33,0.29,0.34
f_0,0.63,0.8,0.71,0.63,0.7,0.48,0.6,0.45,0.5,0.46,0.66,0.44,0.47,0.34,0.67,0.35
b_0,0.68,0.97,0.85,0.84,0.43,0.36,0.53,0.46,0.38,0.42,0.4,0.65,0.51,0.62,0.34,0.35
h_0,0.71,0.87,1.12,0.83,0.61,0.61,0.35,0.65,0.49,0.5,0.41,0.4,0.37,0.42,0.34,0.52
a_0,0.87,0.83,0.94,0.78,0.73,0.32,0.65,0.48,0.45,0.45,0.51,0.39,0.51,0.63,0.38,0.44
e_0,0.53,0.92,1.12,0.72,0.65,0.59,0.64,0.49,0.46,0.45,0.35,0.45,0.55,0.34,0.62,0.41
g_0,0.71,1.2,0.72,0.86,0.72,0.61,0.51,0.35,0.46,0.43,0.59,0.49,0.42,0.34,0.4,0.3
