,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.16,0.72,0.31,0.3,0.33,0.31,0.69,0.57,0.67,0.79,0.89,0.12,0.93,0.55,0.58,0.67
e_1,0.38,23.76,0.29,0.37,0.32,0.4,0.73,0.57,1.6,0.81,0.77,0.8,0.81,0.89,0.2,0.88
d_1,0.37,0.28,27.54,0.3,0.31,0.32,0.75,0.65,0.2,1.71,0.98,0.88,0.97,0.78,1.01,0.94
c_1,0.31,0.3,0.34,28.17,0.72,0.3,0.68,0.92,0.83,0.13,0.56,0.73,0.95,0.68,0.77,0.76
b_1,0.3,0.32,0.35,0.38,30.56,0.73,0.77,0.64,0.83,0.72,0.24,0.87,0.9,0.71,0.8,0.7
a_1,0.35,0.3,0.43,0.37,0.26,48.45,0.78,0.74,0.87,0.73,0.75,0.83,0.87,0.23,0.9,0.79
h_1,0.96,0.59,0.63,0.58,0.55,0.48,9.87,1.74,1.21,1.78,1.43,1.77,0.55,1.22,1.79,2.24
g_1,0.53,0.33,1.29,0.72,0.77,0.39,1.37,12.23,0.99,1.24,1.53,2.67,1.33,1.32,1.53,0.5
d_0,0.76,0.52,0.21,1.47,0.67,0.74,1.35,1.28,5.07,0.87,1.26,1.9,1.36,1.92,1.39,1.79
c_0,0.79,0.7,0.76,0.26,0.47,0.63,1.41,1.82,1.52,5.57,3.71,1.53,1.93,2.16,1.7,1.92
b_0,0.68,0.76,0.9,0.61,0.18,0.58,1.16,1.61,1.36,1.43,6.8,1.51,1.4,4.68,1.41,2.01
f_0,0.2,0.45,0.83,0.97,0.63,0.62,1.72,1.47,1.69,1.54,1.54,7.33,1.79,2.05,3.81,2.61
h_0,0.99,0.51,0.74,0.53,0.71,0.71,0.44,1.67,1.19,1.0,1.31,1.65,0.6,1.16,1.56,2.34
a_0,0.76,0.58,0.55,0.65,0.77,0.3,1.47,1.27,1.59,1.31,1.83,1.44,1.65,8.11,2.13,1.9
e_0,0.69,0.25,0.63,0.8,0.76,0.74,1.81,1.91,1.34,2.05,1.62,2.06,1.82,1.68,10.02,1.73
g_0,0.58,0.55,1.08,0.7,0.5,0.52,1.07,0.76,1.17,1.35,1.75,2.96,1.88,1.4,1.86,0.76
