,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.62,0.68,0.69,0.67,0.59,0.29,0.35,0.3,0.32,0.3,0.34,0.23,0.31,0.26,0.29
d_1,0.75,0.4,0.71,0.64,0.63,0.59,0.37,0.27,0.32,0.45,0.29,0.3,0.24,0.32,0.21,0.27
e_1,0.48,0.68,0.4,0.78,0.71,0.63,0.37,0.41,0.33,0.38,0.33,0.35,0.27,0.28,0.29,0.39
c_1,0.62,0.82,0.57,0.37,0.81,0.65,0.36,0.37,0.33,0.19,0.24,0.28,0.24,0.26,0.26,0.31
b_1,0.73,0.67,0.7,0.43,0.36,0.81,0.38,0.35,0.34,0.29,0.44,0.32,0.26,0.31,0.26,0.29
a_1,0.75,0.72,0.74,0.7,0.4,0.32,0.39,0.42,0.31,0.31,0.44,0.29,0.27,0.45,0.27,0.29
h_1,0.69,0.58,0.63,0.67,0.62,0.57,0.24,0.35,0.29,0.29,0.27,0.27,0.28,0.26,0.26,0.26
g_1,0.71,0.65,0.54,0.64,0.65,0.54,0.29,0.22,0.28,0.25,0.27,0.3,0.21,0.27,0.25,0.32
c_0,0.68,0.44,0.61,0.94,0.66,0.64,0.35,0.32,0.23,0.35,0.33,0.3,0.24,0.33,0.22,0.3
d_0,0.57,0.72,0.42,0.8,0.7,0.67,0.39,0.41,0.27,0.23,0.27,0.29,0.24,0.27,0.25,0.32
b_0,0.64,0.52,0.6,0.87,0.72,0.54,0.36,0.29,0.18,0.28,0.21,0.29,0.25,0.35,0.23,0.28
f_0,0.77,0.6,0.57,0.68,0.61,0.64,0.35,0.24,0.27,0.28,0.25,0.21,0.25,0.24,0.18,0.33
h_0,0.64,0.64,0.56,0.68,0.65,0.56,0.4,0.32,0.27,0.27,0.27,0.27,0.28,0.25,0.28,0.26
a_0,0.64,0.59,0.63,0.67,0.79,0.71,0.32,0.33,0.22,0.29,0.17,0.29,0.22,0.19,0.21,0.31
g_0,0.68,0.59,0.62,0.64,0.73,0.58,0.29,0.38,0.29,0.29,0.25,0.3,0.18,0.29,0.26,0.27
e_0,0.74,0.66,0.75,0.62,0.57,0.62,0.35,0.27,0.26,0.25,0.3,0.17,0.23,0.26,0.21,0.18
