,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.32,0.95,0.94,0.84,0.72,0.56,0.68,0.61,0.54,0.57,0.59,0.49,0.5,0.53,0.4
e_1,0.76,1.0,0.96,1.11,1.0,0.92,0.72,0.69,0.93,0.66,0.69,0.75,0.59,0.57,0.63,0.56
d_1,1.07,1.01,1.0,0.99,0.97,0.79,0.72,0.57,0.67,0.78,0.69,0.58,0.61,0.62,0.47,0.6
c_1,1.07,0.91,1.01,1.0,1.29,0.93,0.72,0.67,0.47,0.6,0.52,0.64,0.63,0.62,0.54,0.53
b_1,1.18,1.0,1.03,0.78,1.0,1.29,0.85,0.72,0.73,0.79,0.72,0.64,0.72,0.54,0.68,0.65
a_1,1.39,1.1,1.28,1.06,0.81,1.0,0.93,0.83,0.74,0.92,0.88,0.74,0.82,0.7,0.65,0.63
h_1,1.78,1.38,1.38,1.38,1.22,1.03,1.0,1.14,0.97,0.83,0.86,0.8,0.82,0.75,0.98,0.79
g_1,1.46,1.47,1.71,1.44,1.37,1.19,0.92,1.0,1.01,0.91,0.96,1.04,0.77,0.88,0.87,0.82
d_0,1.56,1.1,1.36,2.14,1.42,1.28,1.07,0.96,1.0,0.78,1.03,0.89,0.99,0.94,0.88,0.99
c_0,1.88,1.49,1.28,1.66,1.22,1.14,1.17,1.12,1.16,1.0,1.41,0.87,1.06,1.02,0.95,1.0
b_0,1.79,1.46,1.45,1.92,1.36,1.11,1.17,1.12,0.99,0.74,1.0,0.88,0.97,1.29,0.83,0.91
f_0,1.69,1.41,1.75,1.58,1.48,1.38,1.26,0.95,1.12,1.08,1.11,1.0,0.96,0.99,0.79,1.35
h_0,2.04,1.73,1.63,1.59,1.37,1.24,1.23,1.33,1.02,0.95,1.04,0.97,1.0,0.95,1.08,0.81
a_0,1.96,1.72,1.65,1.71,1.79,1.35,1.26,1.12,1.16,0.94,0.81,1.04,1.01,1.0,1.02,0.99
g_0,1.82,1.54,2.13,1.83,1.49,1.45,1.02,1.16,1.17,1.06,1.15,1.32,0.94,1.05,1.0,1.08
e_0,2.55,1.8,1.66,1.84,1.58,1.55,1.24,1.28,1.11,1.01,1.08,0.72,1.22,1.07,0.96,1.0
