,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.92,0.87,0.94,0.8,0.64,0.7,0.68,0.56,0.59,0.61,0.53,0.47,0.57,0.52
e_1,0.8,1.0,1.18,0.97,0.92,0.84,0.71,0.7,0.88,0.64,0.75,0.65,0.63,0.72,0.62,0.6
c_1,1.1,0.84,1.0,1.09,1.25,0.67,0.73,0.72,0.49,0.54,0.61,0.52,0.64,0.6,0.53,0.65
d_1,1.15,1.05,0.92,1.0,0.99,0.74,0.71,0.53,0.78,0.88,0.62,0.56,0.62,0.57,0.5,0.52
b_1,1.07,1.09,0.81,0.99,1.0,1.47,0.82,0.68,0.67,0.81,0.64,0.7,0.6,0.61,0.62,0.56
a_1,1.24,1.2,1.52,1.36,0.69,1.0,0.82,0.85,0.72,0.65,0.82,1.03,0.82,0.82,0.69,0.65
h_1,1.61,1.39,1.29,1.37,1.18,1.15,1.0,1.2,0.94,0.9,0.92,0.87,0.83,0.85,0.72,0.96
g_1,1.45,1.4,1.44,1.95,1.51,1.16,0.83,1.0,0.9,0.97,1.27,0.89,0.7,0.76,0.86,0.8
d_0,1.49,1.14,2.07,1.22,1.61,1.31,1.04,1.06,1.0,0.8,0.98,0.93,0.9,0.83,0.95,0.93
c_0,1.71,1.54,1.96,1.15,1.22,1.47,1.07,1.06,1.13,1.0,0.98,1.39,1.01,0.86,1.01,0.97
f_0,1.69,1.28,1.71,1.61,1.63,1.19,1.11,0.78,1.04,0.99,1.0,1.05,0.99,1.12,0.91,0.67
b_0,1.69,1.53,1.81,1.68,1.39,1.0,1.18,1.17,1.02,0.71,0.93,1.0,1.07,0.81,1.34,0.88
h_0,1.94,1.66,1.65,1.62,1.58,1.28,1.2,1.45,1.04,0.99,0.99,0.91,1.0,0.9,0.96,0.99
e_0,2.19,1.47,1.67,1.76,1.6,1.4,1.11,1.24,1.13,1.14,0.82,1.3,1.1,1.0,1.11,0.88
a_0,1.7,1.6,1.92,1.99,1.63,1.46,1.44,1.12,1.03,1.05,1.11,0.76,1.02,0.85,1.0,1.08
g_0,1.7,1.64,1.6,1.92,1.76,1.57,1.05,1.25,1.1,1.07,1.5,1.18,0.97,1.08,0.98,1.0
